t=2 start source=file:/media/fat/games/MediaPlayer/bbb_480i_tff_15s_8mbps.m2v index=1 core=MediaPlayer alternate=MediaPlayer
t=1939 helper forked pid=687 read_fd=14
t=2044 download asserted index=1 pid=687
t=2208 would_block count=1 submitted=0
t=2404 would_block count=2 submitted=0
t=2476 would_block count=3 submitted=0
t=2531 would_block count=4 submitted=0
t=2737 would_block count=8 submitted=0
t=3057 would_block count=16 submitted=0
t=3659 would_block count=32 submitted=0
t=4878 would_block count=64 submitted=0
t=7257 would_block count=128 submitted=0
t=15957 would_block count=256 submitted=0
t=27068 would_block count=512 submitted=0
t=39601 first_byte latency_us=37556 would_block=672 count=4096
t=39642 read event=1 count=4096 submitted=4096
t=42400 read event=2 count=4096 submitted=8192
t=45197 read event=3 count=4096 submitted=12288
t=48199 read event=4 count=4096 submitted=16384
t=51094 read event=5 count=4096 submitted=20480
t=53849 read event=6 count=4096 submitted=24576
t=56590 read event=7 count=4096 submitted=28672
t=60045 read event=8 count=4096 submitted=32768
t=62920 read event=9 count=4096 submitted=36864
t=65751 read event=10 count=4096 submitted=40960
t=68504 read event=11 count=4096 submitted=45056
t=72534 read event=12 count=4096 submitted=49152
t=75775 read event=13 count=4096 submitted=53248
t=79649 read event=14 count=4096 submitted=57344
t=82688 read event=15 count=4096 submitted=61440
t=86032 read event=16 count=4096 submitted=65536
t=88992 read event=17 count=4096 submitted=69632
t=91759 read event=18 count=4096 submitted=73728
t=94508 read event=19 count=4096 submitted=77824
t=97473 read event=20 count=4096 submitted=81920
t=100308 read event=21 count=4096 submitted=86016
t=103057 read event=22 count=4096 submitted=90112
t=105805 read event=23 count=4096 submitted=94208
t=108755 read event=24 count=4096 submitted=98304
t=111571 read event=25 count=4096 submitted=102400
t=114321 read event=26 count=4096 submitted=106496
t=117068 read event=27 count=4096 submitted=110592
t=120015 read event=28 count=4096 submitted=114688
t=122840 read event=29 count=4096 submitted=118784
t=125584 read event=30 count=4096 submitted=122880
t=128332 read event=31 count=4096 submitted=126976
t=131277 read event=32 count=4096 submitted=131072
t=134099 read event=33 count=4096 submitted=135168
t=136862 read event=34 count=4096 submitted=139264
t=139601 read event=35 count=4096 submitted=143360
t=142553 read event=36 count=4096 submitted=147456
t=145370 read event=37 count=4096 submitted=151552
t=148120 read event=38 count=4096 submitted=155648
t=150864 read event=39 count=4096 submitted=159744
t=154336 read event=40 count=4096 submitted=163840
t=157224 read event=41 count=4096 submitted=167936
t=160060 read event=42 count=4096 submitted=172032
t=162818 read event=43 count=4096 submitted=176128
t=165773 read event=44 count=4096 submitted=180224
t=168631 read event=45 count=4096 submitted=184320
t=171384 read event=46 count=4096 submitted=188416
t=174185 read event=47 count=4096 submitted=192512
t=177141 read event=48 count=4096 submitted=196608
t=179969 read event=49 count=4096 submitted=200704
t=182721 read event=50 count=4096 submitted=204800
t=185464 read event=51 count=4096 submitted=208896
t=188417 read event=52 count=4096 submitted=212992
t=191239 read event=53 count=4096 submitted=217088
t=193994 read event=54 count=4096 submitted=221184
t=196736 read event=55 count=4096 submitted=225280
t=199676 read event=56 count=4096 submitted=229376
t=202502 read event=57 count=4096 submitted=233472
t=205251 read event=58 count=4096 submitted=237568
t=207997 read event=59 count=4096 submitted=241664
t=210937 read event=60 count=4096 submitted=245760
t=213757 read event=61 count=4096 submitted=249856
t=216497 read event=62 count=4096 submitted=253952
t=219245 read event=63 count=4096 submitted=258048
t=222185 read event=64 count=4096 submitted=262144
t=225002 read event=65 count=4096 submitted=266240
t=227751 read event=66 count=4096 submitted=270336
t=230491 read event=67 count=4096 submitted=274432
t=233443 read event=68 count=4096 submitted=278528
t=236300 read event=69 count=4096 submitted=282624
t=239051 read event=70 count=4096 submitted=286720
t=241801 read event=71 count=4096 submitted=290816
t=245240 read event=72 count=4096 submitted=294912
t=248121 read event=73 count=4096 submitted=299008
t=250951 read event=74 count=4096 submitted=303104
t=253709 read event=75 count=4096 submitted=307200
t=256656 read event=76 count=4096 submitted=311296
t=259528 read event=77 count=4096 submitted=315392
t=262282 read event=78 count=4096 submitted=319488
t=265026 read event=79 count=4096 submitted=323584
t=267974 read event=80 count=4096 submitted=327680
t=270796 read event=81 count=4096 submitted=331776
t=273537 read event=82 count=4096 submitted=335872
t=276286 read event=83 count=4096 submitted=339968
t=279228 read event=84 count=4096 submitted=344064
t=282048 read event=85 count=4096 submitted=348160
t=284800 read event=86 count=4096 submitted=352256
t=287540 read event=87 count=4096 submitted=356352
t=290492 read event=88 count=4096 submitted=360448
t=293314 read event=89 count=4096 submitted=364544
t=296061 read event=90 count=4096 submitted=368640
t=298810 read event=91 count=4096 submitted=372736
t=301753 read event=92 count=4096 submitted=376832
t=304567 read event=93 count=4096 submitted=380928
t=307317 read event=94 count=4096 submitted=385024
t=310072 read event=95 count=4096 submitted=389120
t=313015 read event=96 count=4096 submitted=393216
t=315836 read event=97 count=4096 submitted=397312
t=318579 read event=98 count=4096 submitted=401408
t=321322 read event=99 count=4096 submitted=405504
t=324265 read event=100 count=4096 submitted=409600
t=327081 read event=101 count=4096 submitted=413696
t=329833 read event=102 count=4096 submitted=417792
t=332571 read event=103 count=4096 submitted=421888
t=336051 read event=104 count=4096 submitted=425984
t=338922 read event=105 count=4096 submitted=430080
t=341757 read event=106 count=4096 submitted=434176
t=344512 read event=107 count=4096 submitted=438272
t=347479 read event=108 count=4096 submitted=442368
t=370914 read event=109 count=4096 submitted=446464
t=373663 read event=110 count=4096 submitted=450560
t=376420 read event=111 count=4096 submitted=454656
t=379372 read event=112 count=4096 submitted=458752
t=382260 read event=113 count=4096 submitted=462848
t=385021 read event=114 count=4096 submitted=466944
t=387768 read event=115 count=4096 submitted=471040
t=390715 read event=116 count=4096 submitted=475136
t=393532 read event=117 count=4096 submitted=479232
t=396284 read event=118 count=4096 submitted=483328
t=399029 read event=119 count=4096 submitted=487424
t=401976 read event=120 count=4096 submitted=491520
t=404799 read event=121 count=4096 submitted=495616
t=407539 read event=122 count=4096 submitted=499712
t=410287 read event=123 count=4096 submitted=503808
t=413225 read event=124 count=4096 submitted=507904
t=416045 read event=125 count=4096 submitted=512000
t=418791 read event=126 count=4096 submitted=516096
t=421532 read event=127 count=4096 submitted=520192
t=424479 read event=128 count=4096 submitted=524288
t=427296 read event=129 count=4096 submitted=528384
t=430047 read event=130 count=4096 submitted=532480
t=432796 read event=131 count=4096 submitted=536576
t=435743 read event=132 count=4096 submitted=540672
t=438560 read event=133 count=4096 submitted=544768
t=441311 read event=134 count=4096 submitted=548864
t=444057 read event=135 count=4096 submitted=552960
t=447518 read event=136 count=4096 submitted=557056
t=450397 read event=137 count=4096 submitted=561152
t=453233 read event=138 count=4096 submitted=565248
t=455991 read event=139 count=4096 submitted=569344
t=458949 read event=140 count=4096 submitted=573440
t=461811 read event=141 count=4096 submitted=577536
t=464555 read event=142 count=4096 submitted=581632
t=467309 read event=143 count=4096 submitted=585728
t=470258 read event=144 count=4096 submitted=589824
t=473083 read event=145 count=4096 submitted=593920
t=475837 read event=146 count=4096 submitted=598016
