t=2 start source=file:/media/fat/games/MediaPlayer/bbb_480i_tff_15s.m2v index=1 core=MediaPlayer alternate=MediaPlayer
t=2228 helper forked pid=932 read_fd=14
t=2334 download asserted index=1 pid=932
t=2510 would_block count=1 submitted=0
t=2791 would_block count=2 submitted=0
t=2873 would_block count=3 submitted=0
t=2929 would_block count=4 submitted=0
t=3091 would_block count=8 submitted=0
t=3390 would_block count=16 submitted=0
t=4006 would_block count=32 submitted=0
t=5169 would_block count=64 submitted=0
t=7466 would_block count=128 submitted=0
t=16177 would_block count=256 submitted=0
t=26084 first_byte latency_us=23749 would_block=384 count=4096
t=26124 read event=1 count=4096 submitted=4096
t=28879 read event=2 count=4096 submitted=8192
t=31674 read event=3 count=4096 submitted=12288
t=34673 read event=4 count=4096 submitted=16384
t=37553 read event=5 count=4096 submitted=20480
t=40310 read event=6 count=4096 submitted=24576
t=43058 read event=7 count=4096 submitted=28672
t=46513 read event=8 count=4096 submitted=32768
t=49388 read event=9 count=4096 submitted=36864
t=52223 read event=10 count=4096 submitted=40960
t=54981 read event=11 count=4096 submitted=45056
t=57941 read event=12 count=4096 submitted=49152
t=60795 read event=13 count=4096 submitted=53248
t=63542 read event=14 count=4096 submitted=57344
t=66288 read event=15 count=4096 submitted=61440
t=69236 read event=16 count=4096 submitted=65536
t=72059 read event=17 count=4096 submitted=69632
t=74810 read event=18 count=4096 submitted=73728
t=77552 read event=19 count=4096 submitted=77824
t=80504 read event=20 count=4096 submitted=81920
t=83322 read event=21 count=4096 submitted=86016
t=86073 read event=22 count=4096 submitted=90112
t=88830 read event=23 count=4096 submitted=94208
t=91781 read event=24 count=4096 submitted=98304
t=94639 read event=25 count=4096 submitted=102400
t=97404 read event=26 count=4096 submitted=106496
t=100154 read event=27 count=4096 submitted=110592
t=103096 read event=28 count=4096 submitted=114688
t=105919 read event=29 count=4096 submitted=118784
t=108661 read event=30 count=4096 submitted=122880
t=111409 read event=31 count=4096 submitted=126976
t=114350 read event=32 count=4096 submitted=131072
t=117228 read event=33 count=4096 submitted=135168
t=119983 read event=34 count=4096 submitted=139264
t=122741 read event=35 count=4096 submitted=143360
t=125725 read event=36 count=4096 submitted=147456
t=128553 read event=37 count=4096 submitted=151552
t=131303 read event=38 count=4096 submitted=155648
t=134052 read event=39 count=4096 submitted=159744
t=137515 read event=40 count=4096 submitted=163840
t=140400 read event=41 count=4096 submitted=167936
