t=2 start source=file:/media/fat/games/MediaPlayer/bbb_480i_tff_15s.m2v index=1 core=MediaPlayer alternate=MediaPlayer
t=2225 helper forked pid=1060 read_fd=14
t=2331 download asserted index=1 pid=1060
t=2513 would_block count=1 submitted=0
t=2788 would_block count=2 submitted=0
t=2858 would_block count=3 submitted=0
t=2912 would_block count=4 submitted=0
t=3072 would_block count=8 submitted=0
t=3372 would_block count=16 submitted=0
t=4000 would_block count=32 submitted=0
t=5166 would_block count=64 submitted=0
t=7463 would_block count=128 submitted=0
t=16892 first_byte latency_us=14560 would_block=185 count=4096
t=16932 read event=1 count=4096 submitted=4096
t=19655 read event=2 count=4096 submitted=8192
t=22417 read event=3 count=4096 submitted=12288
t=25379 read event=4 count=4096 submitted=16384
t=28212 read event=5 count=4096 submitted=20480
t=30960 read event=6 count=4096 submitted=24576
t=33713 read event=7 count=4096 submitted=28672
t=36660 read event=8 count=4096 submitted=32768
t=39481 read event=9 count=4096 submitted=36864
t=42237 read event=10 count=4096 submitted=40960
t=44985 read event=11 count=4096 submitted=45056
t=47933 read event=12 count=4096 submitted=49152
t=50750 read event=13 count=4096 submitted=53248
t=53496 read event=14 count=4096 submitted=57344
t=56247 read event=15 count=4096 submitted=61440
t=59213 read event=16 count=4096 submitted=65536
t=62033 read event=17 count=4096 submitted=69632
t=64780 read event=18 count=4096 submitted=73728
t=67540 read event=19 count=4096 submitted=77824
t=70481 read event=20 count=4096 submitted=81920
t=73299 read event=21 count=4096 submitted=86016
t=76052 read event=22 count=4096 submitted=90112
t=78799 read event=23 count=4096 submitted=94208
t=81746 read event=24 count=4096 submitted=98304
t=84564 read event=25 count=4096 submitted=102400
t=87306 read event=26 count=4096 submitted=106496
t=90053 read event=27 count=4096 submitted=110592
t=93000 read event=28 count=4096 submitted=114688
t=95920 read event=29 count=4096 submitted=118784
t=98680 read event=30 count=4096 submitted=122880
t=101422 read event=31 count=4096 submitted=126976
t=104396 read event=32 count=4096 submitted=131072
t=107227 read event=33 count=4096 submitted=135168
t=109979 read event=34 count=4096 submitted=139264
t=112728 read event=35 count=4096 submitted=143360
t=115678 read event=36 count=4096 submitted=147456
t=118492 read event=37 count=4096 submitted=151552
t=121247 read event=38 count=4096 submitted=155648
t=124001 read event=39 count=4096 submitted=159744
t=126947 read event=40 count=4096 submitted=163840
t=129760 read event=41 count=4096 submitted=167936
t=132505 read event=42 count=4096 submitted=172032
t=135253 read event=43 count=4096 submitted=176128
t=138213 read event=44 count=4096 submitted=180224
t=141037 read event=45 count=4096 submitted=184320
t=143792 read event=46 count=4096 submitted=188416
t=146539 read event=47 count=4096 submitted=192512
t=149478 read event=48 count=4096 submitted=196608
t=152303 read event=49 count=4096 submitted=200704
t=155054 read event=50 count=4096 submitted=204800
t=157801 read event=51 count=4096 submitted=208896
t=160745 read event=52 count=4096 submitted=212992
t=163563 read event=53 count=4096 submitted=217088
t=166305 read event=54 count=4096 submitted=221184
t=169064 read event=55 count=4096 submitted=225280
t=172020 read event=56 count=4096 submitted=229376
t=185140 read event=57 count=4096 submitted=233472
t=187901 read event=58 count=4096 submitted=237568
t=190649 read event=59 count=4096 submitted=241664
t=193615 read event=60 count=4096 submitted=245760
t=196428 read event=61 count=4096 submitted=249856
t=199178 read event=62 count=4096 submitted=253952
t=201931 read event=63 count=4096 submitted=258048
t=204878 read event=64 count=4096 submitted=262144
t=207698 read event=65 count=4096 submitted=266240
t=210443 read event=66 count=4096 submitted=270336
t=213191 read event=67 count=4096 submitted=274432
t=216136 read event=68 count=4096 submitted=278528
t=218955 read event=69 count=4096 submitted=282624
t=221708 read event=70 count=4096 submitted=286720
t=224487 read event=71 count=4096 submitted=290816
t=227446 read event=72 count=4096 submitted=294912
t=230270 read event=73 count=4096 submitted=299008
t=233035 read event=74 count=4096 submitted=303104
t=235786 read event=75 count=4096 submitted=307200
t=238735 read event=76 count=4096 submitted=311296
t=241558 read event=77 count=4096 submitted=315392
t=244305 read event=78 count=4096 submitted=319488
t=247051 read event=79 count=4096 submitted=323584
t=249999 read event=80 count=4096 submitted=327680
t=252818 read event=81 count=4096 submitted=331776
t=255566 read event=82 count=4096 submitted=335872
t=258307 read event=83 count=4096 submitted=339968
t=261256 read event=84 count=4096 submitted=344064
t=264075 read event=85 count=4096 submitted=348160
t=266834 read event=86 count=4096 submitted=352256
t=269582 read event=87 count=4096 submitted=356352
t=272541 read event=88 count=4096 submitted=360448
t=275351 read event=89 count=4096 submitted=364544
t=278101 read event=90 count=4096 submitted=368640
t=280850 read event=91 count=4096 submitted=372736
t=283803 read event=92 count=4096 submitted=376832
t=286624 read event=93 count=4096 submitted=380928
t=289365 read event=94 count=4096 submitted=385024
t=292113 read event=95 count=4096 submitted=389120
t=295061 read event=96 count=4096 submitted=393216
t=297886 read event=97 count=4096 submitted=397312
t=300634 read event=98 count=4096 submitted=401408
t=303425 read event=99 count=4096 submitted=405504
t=306383 read event=100 count=4096 submitted=409600
t=309205 read event=101 count=4096 submitted=413696
t=311958 read event=102 count=4096 submitted=417792
t=314704 read event=103 count=4096 submitted=421888
t=317664 read event=104 count=4096 submitted=425984
t=320473 read event=105 count=4096 submitted=430080
t=323227 read event=106 count=4096 submitted=434176
t=325977 read event=107 count=4096 submitted=438272
t=328921 read event=108 count=4096 submitted=442368
t=331738 read event=109 count=4096 submitted=446464
t=334480 read event=110 count=4096 submitted=450560
t=337234 read event=111 count=4096 submitted=454656
t=340182 read event=112 count=4096 submitted=458752
t=343007 read event=113 count=4096 submitted=462848
t=345759 read event=114 count=4096 submitted=466944
t=348498 read event=115 count=4096 submitted=471040
t=351448 read event=116 count=4096 submitted=475136
t=354270 read event=117 count=4096 submitted=479232
t=357014 read event=118 count=4096 submitted=483328
