t=1 start source=file:/media/fat/games/MediaPlayer/bbb_480i_tff_15s.m2v index=1 core=MediaPlayer alternate=MediaPlayer
t=1962 helper forked pid=695 read_fd=14
t=2067 download asserted index=1 pid=695
t=2220 would_block count=1 submitted=0
t=2422 would_block count=2 submitted=0
t=2495 would_block count=3 submitted=0
t=2551 would_block count=4 submitted=0
t=2758 would_block count=8 submitted=0
t=3079 would_block count=16 submitted=0
t=3672 would_block count=32 submitted=0
t=4881 would_block count=64 submitted=0
t=7237 would_block count=128 submitted=0
t=15790 would_block count=256 submitted=0
t=26835 would_block count=512 submitted=0
t=47601 first_byte latency_us=45532 would_block=674 count=16384
t=47643 read event=1 count=16384 submitted=16384
t=59271 read event=2 count=16384 submitted=32768
t=70346 read event=3 count=16384 submitted=49152
t=81401 read event=4 count=16384 submitted=65536
t=92606 read event=5 count=16384 submitted=81920
t=103666 read event=6 count=16384 submitted=98304
t=114741 read event=7 count=16384 submitted=114688
t=125796 read event=8 count=16384 submitted=131072
t=136989 read event=9 count=16384 submitted=147456
t=148615 read event=10 count=16384 submitted=163840
t=159700 read event=11 count=16384 submitted=180224
t=170775 read event=12 count=16384 submitted=196608
t=181999 read event=13 count=16384 submitted=212992
t=193066 read event=14 count=16384 submitted=229376
t=204113 read event=15 count=16384 submitted=245760
t=215174 read event=16 count=16384 submitted=262144
t=226314 read event=17 count=16384 submitted=278528
t=237947 read event=18 count=16384 submitted=294912
t=249023 read event=19 count=16384 submitted=311296
t=260085 read event=20 count=16384 submitted=327680
t=271253 read event=21 count=16384 submitted=344064
t=282311 read event=22 count=16384 submitted=360448
t=293356 read event=23 count=16384 submitted=376832
t=304398 read event=24 count=16384 submitted=393216
t=336102 read event=25 count=16384 submitted=409600
t=347755 read event=26 count=16384 submitted=425984
t=358831 read event=27 count=16384 submitted=442368
t=369892 read event=28 count=16384 submitted=458752
t=381078 read event=29 count=16384 submitted=475136
t=392138 read event=30 count=16384 submitted=491520
t=403187 read event=31 count=16384 submitted=507904
t=414253 read event=32 count=16384 submitted=524288
t=425381 read event=33 count=16384 submitted=540672
t=437024 read event=34 count=16384 submitted=557056
t=449093 read event=35 count=16384 submitted=573440
t=462070 read event=36 count=16384 submitted=589824
t=473481 read event=37 count=16384 submitted=606208
t=484579 read event=38 count=16384 submitted=622592
t=495653 read event=39 count=16384 submitted=638976
t=506732 read event=40 count=16384 submitted=655360
t=517880 read event=41 count=16384 submitted=671744
t=529529 read event=42 count=16384 submitted=688128
t=540619 read event=43 count=16384 submitted=704512
t=551690 read event=44 count=16384 submitted=720896
