picture,start_cycle,complete_cycle,decode_cycles,interval_cycles,bytes,pixels,ac_coefficients,blocks,pipeline_wait,parse_bits,transform_cycles,quant_sum
1,41,1949225,1949184,1949225,35845,518400,29076,8100,1628100,286336,1036800,24300
2,1949260,3989801,2040541,2040576,45988,518400,41094,8100,1628100,367528,1036800,16200
3,3989836,6027581,2037745,2037780,45680,518400,41019,8100,1628100,365064,1036800,16200
4,6027616,8062300,2034684,2034719,45343,518400,40653,8100,1628100,362368,1036800,16200
5,8062335,10089939,2027604,2027639,44557,518400,39838,8100,1628100,356080,1036800,16200
6,10089974,13005159,2915185,2915220,143171,518400,142981,8100,1628100,1144992,1036800,16200
7,13005194,15091683,2086489,2086524,51095,518400,62076,8100,1628100,408384,1036800,48600
8,15091718,16892347,1800629,1800664,19332,518400,15823,8100,1628100,154280,1036800,129600
9,16892382,18765729,1873347,1873382,27413,518400,27433,8100,1628100,218928,1036800,97200
10,18765764,20642994,1877230,1877265,27847,518400,28158,8100,1628100,222400,1036800,97200
11,20643029,22531830,1888801,1888836,29128,518400,28890,8100,1628100,232648,1036800,81000
12,22531865,24486405,1954540,1954575,36427,518400,40989,8100,1628100,291040,1036800,72900
13,24486440,26441653,1955213,1955248,36507,518400,41448,8100,1628100,291680,1036800,72900
14,26441688,28404069,1962381,1962416,37308,518400,40839,8100,1628100,298088,1036800,64800
15,28404104,30381558,1977454,1977489,38981,518400,40893,8100,1628100,311472,1036800,56700
16,30381593,32358329,1976736,1976771,38903,518400,40686,8100,1628100,310848,1036800,56700
17,32358364,34338311,1979947,1979982,39262,518400,41075,8100,1628100,313720,1036800,56700
18,34338346,36325300,1986954,1986989,40043,518400,42242,8100,1628100,319968,1036800,56700
19,36325335,38318288,1992953,1992988,40701,518400,43048,8100,1628100,325232,1036800,56700
20,38318323,40311336,1993013,1993048,40705,518400,43100,8100,1628100,325264,1036800,56700
21,40311371,42306869,1995498,1995533,40981,518400,43500,8100,1628100,327472,1036800,56700
22,42306904,44303873,1996969,1997004,41150,518400,43813,8100,1628100,328824,1036800,56700
23,44303908,46424205,2120297,2120332,54844,518400,68370,8100,1628100,438376,1036800,48600
24,46424240,48384508,1960268,1960303,37073,518400,42605,8100,1628100,296208,1036800,72900
25,48384543,50354719,1970176,1970211,38172,518400,42448,8100,1628100,305000,1036800,64800
26,50354754,52320530,1965776,1965811,37682,518400,41879,8100,1628100,301080,1036800,64800
27,52320565,54285275,1964710,1964745,37561,518400,41766,8100,1628100,300112,1036800,64800
28,54285310,56267004,1981694,1981729,39447,518400,41667,8100,1628100,315200,1036800,56700
29,56267039,58250139,1983100,1983135,39609,518400,42017,8100,1628100,316496,1036800,56700
30,58250174,60232491,1982317,1982352,39515,518400,41828,8100,1628100,315744,1036800,56700
31,60232526,62333549,2101023,2101058,52713,518400,65835,8100,1628100,421328,1036800,48600
32,62333584,64294681,1961097,1961132,37162,518400,41342,8100,1628100,296920,1036800,64800
33,64294716,66254517,1959801,1959836,37018,518400,41250,8100,1628100,295768,1036800,64800
34,66254552,68227121,1972569,1972604,38435,518400,40864,8100,1628100,307104,1036800,56700
35,68227156,70315471,2088315,2088350,51298,518400,63955,8100,1628100,410008,1036800,48600
