event,picture,cycle,interval,bank,debug
header,1,43,0,0,80000000
complete,1,1965426,1965426,0,80000000
header,2,1965462,0,1,c0000000
complete,2,4022202,2056776,1,c0000000
header,3,4022238,0,2,c4000000
ready,2,4022239,37,1,cc000000
complete,3,6076182,2053980,2,cc000000
header,4,6076218,0,0,cc000000
present,2,6276754,4311328,1,cc000000
present,3,8278754,2002000,2,c0000000
complete,4,8327637,2251455,0,c0000000
header,5,8327673,0,1,c4000000
ready,4,8327674,37,0,cc000000
present,4,10280754,2002000,0,c0000000
complete,5,10371476,2043839,1,c0000000
header,6,10371512,0,2,c4000000
ready,5,10371513,37,1,cc000000
present,5,12282754,2002000,1,c0000000
complete,6,13302896,2931420,2,c0000000
header,7,13302932,0,0,c4000000
ready,6,13302933,37,2,cc000000
present,6,14284754,2002000,2,c0000000
complete,7,15405620,2102724,0,c0000000
header,8,15405656,0,1,c4000000
ready,7,15405657,37,0,cc000000
present,7,16286754,2002000,0,c0000000
complete,8,17222484,1816864,1,c0000000
header,9,17222520,0,2,c4000000
ready,8,17222521,37,1,cc000000
present,8,18288754,2002000,1,c0000000
complete,9,19112066,1889582,2,c0000000
header,10,19112102,0,0,c4000000
ready,9,19112103,37,2,cc000000
present,9,20290754,2002000,2,c0000000
complete,10,21005531,1893465,0,c0000000
header,11,21005567,0,1,c4000000
ready,10,21005568,37,0,cc000000
present,10,22292754,2002000,0,c0000000
complete,11,22910567,1905036,1,c0000000
header,12,22910603,0,2,c4000000
ready,11,22910604,37,1,cc000000
present,11,24294754,2002000,1,c0000000
complete,12,24881342,1970775,2,c0000000
header,13,24881378,0,0,c4000000
ready,12,24881379,37,2,cc000000
present,12,26296754,2002000,2,c0000000
complete,13,26852790,1971448,0,c0000000
header,14,26852826,0,1,c4000000
ready,13,26852827,37,0,cc000000
present,13,28298754,2002000,0,c0000000
complete,14,28831406,1978616,1,c0000000
header,15,28831442,0,2,c4000000
ready,14,28831443,37,1,cc000000
present,14,30300754,2002000,1,c0000000
complete,15,30825095,1993689,2,c0000000
header,16,30825131,0,0,c4000000
ready,15,30825132,37,2,cc000000
present,15,32302754,2002000,2,c0000000
complete,16,32818066,1992971,0,c0000000
header,17,32818102,0,1,c4000000
ready,16,32818103,37,0,cc000000
present,16,34304754,2002000,0,c0000000
complete,17,34814248,1996182,1,c0000000
header,18,34814284,0,2,c4000000
ready,17,34814285,37,1,cc000000
present,17,36306754,2002000,1,c0000000
complete,18,36817437,2003189,2,c0000000
header,19,36817473,0,0,c4000000
ready,18,36817474,37,2,cc000000
present,18,38308754,2002000,2,c0000000
complete,19,38826625,2009188,0,c0000000
header,20,38826661,0,1,c4000000
ready,19,38826662,37,0,cc000000
present,19,40310754,2002000,0,c0000000
complete,20,40835873,2009248,1,c0000000
header,21,40835909,0,2,c4000000
ready,20,40835910,37,1,cc000000
present,20,42312754,2002000,1,c0000000
complete,21,42847606,2011733,2,c0000000
header,22,42847642,0,0,c4000000
ready,21,42847643,37,2,cc000000
present,21,44314754,2002000,2,c0000000
complete,22,44860810,2013204,0,c0000000
header,23,44860846,0,1,c4000000
ready,22,44860847,37,0,cc000000
present,22,46316754,2002000,0,c0000000
complete,23,46997342,2136532,1,c0000000
header,24,46997378,0,2,c4000000
ready,23,46997379,37,1,cc000000
present,23,48318754,2002000,1,c0000000
complete,24,48973845,1976503,2,c0000000
header,25,48973881,0,0,c4000000
ready,24,48973882,37,2,cc000000
present,24,50320754,2002000,2,c0000000
complete,25,50960256,1986411,0,c0000000
header,26,50960292,0,1,c4000000
ready,25,50960293,37,0,cc000000
present,25,52322754,2002000,0,c0000000
complete,26,52942267,1982011,1,c0000000
header,27,52942303,0,2,c4000000
ready,26,52942304,37,1,cc000000
present,26,54324754,2002000,1,c0000000
complete,27,54923212,1980945,2,c0000000
header,28,54923248,0,0,c4000000
ready,27,54923249,37,2,cc000000
present,27,56326754,2002000,2,c0000000
complete,28,56921141,1997929,0,c0000000
header,29,56921177,0,1,c4000000
ready,28,56921178,37,0,cc000000
present,28,58328754,2002000,0,c0000000
complete,29,58920476,1999335,1,c0000000
header,30,58920512,0,2,c4000000
ready,29,58920513,37,1,cc000000
present,29,60330754,2002000,1,c0000000
complete,30,60919028,1998552,2,c0000000
header,31,60919064,0,0,c4000000
ready,30,60919065,37,2,cc000000
present,30,62332754,2002000,2,c0000000
complete,31,63036286,2117258,0,c0000000
header,32,63036322,0,1,c4000000
ready,31,63036323,37,0,cc000000
present,31,64334754,2002000,0,c0000000
complete,32,65013618,1977332,1,c0000000
header,33,65013654,0,2,c4000000
ready,32,65013655,37,1,cc000000
present,32,66336754,2002000,1,c0000000
complete,33,66989654,1976036,2,c0000000
header,34,66989690,0,0,c4000000
ready,33,66989691,37,2,cc000000
present,33,68338754,2002000,2,c0000000
complete,34,68978458,1988804,0,c0000000
header,35,68978494,0,1,c4000000
ready,34,68978495,37,0,cc000000
present,34,70340754,2002000,0,c0000000
complete,35,71083008,2104550,1,c0000000
header,36,71083044,0,2,c4000000
ready,35,71083045,37,1,cc000000
present,35,72342754,2002000,1,c0000000
complete,36,73048465,1965457,2,c0000000
header,37,73048501,0,0,c4000000
ready,36,73048502,37,2,cc000000
present,36,74344754,2002000,2,c0000000
complete,37,75028184,1979719,0,c0000000
header,38,75028220,0,1,c4000000
ready,37,75028221,37,0,cc000000
present,37,76346754,2002000,0,c0000000
complete,38,77008012,1979828,1,c0000000
header,39,77008048,0,2,c4000000
ready,38,77008049,37,1,cc000000
present,38,78348754,2002000,1,c0000000
complete,39,79106244,2098232,2,c0000000
header,40,79106280,0,0,c4000000
ready,39,79106281,37,2,cc000000
present,39,80350754,2002000,2,c0000000
complete,40,81086329,1980085,0,c0000000
header,41,81086365,0,1,c4000000
ready,40,81086366,37,0,cc000000
present,40,82352754,2002000,0,c0000000
complete,41,83066395,1980066,1,c0000000
header,42,83066431,0,2,c4000000
ready,41,83066432,37,1,cc000000
present,41,84354754,2002000,1,c0000000
complete,42,85049204,1982809,2,c0000000
header,43,85049240,0,0,c4000000
ready,42,85049241,37,2,cc000000
present,42,86356754,2002000,2,c0000000
complete,43,87156258,2107054,0,c0000000
header,44,87156294,0,1,c4000000
ready,43,87156295,37,0,cc000000
present,43,88358754,2002000,0,c0000000
complete,44,89149210,1992952,1,c0000000
header,45,89149246,0,2,c4000000
ready,44,89149247,37,1,cc000000
present,44,90360754,2002000,1,c0000000
complete,45,91147024,1997814,2,c0000000
header,46,91147060,0,0,c4000000
ready,45,91147061,37,2,cc000000
present,45,92362754,2002000,2,c0000000
complete,46,93148750,2001726,0,c0000000
header,47,93148786,0,1,c4000000
ready,46,93148787,37,0,cc000000
present,46,94364754,2002000,0,c0000000
complete,47,95153577,2004827,1,c0000000
header,48,95153613,0,2,c4000000
ready,47,95153614,37,1,cc000000
present,47,96366754,2002000,1,c0000000
complete,48,97159899,2006322,2,c0000000
header,49,97159935,0,0,c4000000
ready,48,97159936,37,2,cc000000
present,48,98368754,2002000,2,c0000000
complete,49,99167270,2007371,0,c0000000
header,50,99167306,0,1,c4000000
ready,49,99167307,37,0,cc000000
present,49,100370754,2002000,0,c0000000
complete,50,101174194,2006924,1,c0000000
header,51,101174230,0,2,c4000000
ready,50,101174231,37,1,cc000000
present,50,102372754,2002000,1,c0000000
complete,51,103184698,2010504,2,c0000000
header,52,103184734,0,0,c4000000
ready,51,103184735,37,2,cc000000
present,51,104374754,2002000,2,c0000000
complete,52,105194487,2009789,0,c0000000
header,53,105194523,0,1,c4000000
ready,52,105194524,37,0,cc000000
present,52,106376754,2002000,0,c0000000
complete,53,107204866,2010379,1,c0000000
header,54,107204902,0,2,c4000000
ready,53,107204903,37,1,cc000000
present,53,108378754,2002000,1,c0000000
complete,54,109212106,2007240,2,c0000000
header,55,109212142,0,0,c4000000
ready,54,109212143,37,2,cc000000
present,54,110380754,2002000,2,c0000000
complete,55,111218202,2006096,0,c0000000
header,56,111218238,0,1,c4000000
ready,55,111218239,37,0,cc000000
present,55,112382754,2002000,0,c0000000
complete,56,113353359,2135157,1,c0000000
header,57,113353395,0,2,c4000000
ready,56,113353396,37,1,cc000000
present,56,114384754,2002000,1,c0000000
complete,57,115333376,1980017,2,c0000000
header,58,115333412,0,0,c4000000
ready,57,115333413,37,2,cc000000
present,57,116386754,2002000,2,c0000000
complete,58,117326964,1993588,0,c0000000
header,59,117327000,0,1,c4000000
ready,58,117327001,37,0,cc000000
present,58,118388754,2002000,0,c0000000
complete,59,119318194,1991230,1,c0000000
header,60,119318230,0,2,c4000000
ready,59,119318231,37,1,cc000000
present,59,120390754,2002000,1,c0000000
complete,60,121301978,1983784,2,c0000000
header,61,121302014,0,0,c4000000
ready,60,121302015,37,2,cc000000
present,60,122392754,2002000,2,c0000000
complete,61,123280603,1978625,0,c0000000
header,62,123280639,0,1,c4000000
ready,61,123280640,37,0,cc000000
present,61,124394754,2002000,0,c0000000
complete,62,125268861,1988258,1,c0000000
header,63,125268897,0,2,c4000000
ready,62,125268898,37,1,cc000000
present,62,126396754,2002000,1,c0000000
complete,63,127257524,1988663,2,c0000000
header,64,127257560,0,0,c4000000
ready,63,127257561,37,2,cc000000
present,63,128398754,2002000,2,c0000000
complete,64,129364267,2106743,0,c0000000
header,65,129364303,0,1,c4000000
ready,64,129364304,37,0,cc000000
present,64,130400754,2002000,0,c0000000
complete,65,131348332,1984065,1,c0000000
header,66,131348368,0,2,c4000000
ready,65,131348369,37,1,cc000000
present,65,132402754,2002000,1,c0000000
complete,66,133329594,1981262,2,c0000000
header,67,133329630,0,0,c4000000
ready,66,133329631,37,2,cc000000
present,66,134404754,2002000,2,c0000000
complete,67,135427522,2097928,0,c0000000
header,68,135427558,0,1,c4000000
ready,67,135427559,37,0,cc000000
present,67,136406754,2002000,0,c0000000
complete,68,137385381,1957859,1,c0000000
header,69,137385417,0,2,c4000000
ready,68,137385418,37,1,cc000000
present,68,138408754,2002000,1,c0000000
complete,69,139353083,1967702,2,c0000000
header,70,139353119,0,0,c4000000
ready,69,139353120,37,2,cc000000
present,69,140410754,2002000,2,c0000000
complete,70,141434008,2080925,0,c0000000
header,71,141434044,0,1,c4000000
ready,70,141434045,37,0,cc000000
present,70,142412754,2002000,0,c0000000
complete,71,143394731,1960723,1,c0000000
header,72,143394767,0,2,c4000000
ready,71,143394768,37,1,cc000000
present,71,144414754,2002000,1,c0000000
complete,72,145465158,2070427,2,c0000000
header,73,145465194,0,0,c4000000
ready,72,145465195,37,2,cc000000
present,72,146416754,2002000,2,c0000000
complete,73,147414770,1949612,0,c0000000
header,74,147414806,0,1,c4000000
ready,73,147414807,37,0,cc000000
present,73,148418754,2002000,0,c0000000
complete,74,149471321,2056551,1,c0000000
header,75,149471357,0,2,c4000000
ready,74,149471358,37,1,cc000000
present,74,150420754,2002000,1,c0000000
complete,75,151418022,1946701,2,c0000000
header,76,151418058,0,0,c4000000
ready,75,151418059,37,2,cc000000
present,75,152422754,2002000,2,c0000000
complete,76,153481594,2063572,0,c0000000
header,77,153481630,0,1,c4000000
ready,76,153481631,37,0,cc000000
