event,picture,cycle,interval,bank,debug
header,1,43,0,0,80000000
complete,1,1965426,1965426,0,80000000
header,2,1965462,0,1,c0000000
complete,2,4022202,2056776,1,c0000000
header,3,4022238,0,2,c4000000
ready,2,4022239,37,1,cc000000
complete,3,6076182,2053980,2,cc000000
header,4,6076218,0,0,cc000000
present,2,7967195,6001769,1,cc000000
present,3,9969195,2002000,2,c0000000
complete,4,10018078,3941896,0,c0000000
header,5,10018114,0,1,c4000000
ready,4,10018115,37,0,cc000000
present,4,11971195,2002000,0,c0000000
complete,5,12061917,2043839,1,c0000000
header,6,12061953,0,2,c4000000
ready,5,12061954,37,1,cc000000
present,5,13973195,2002000,1,c0000000
complete,6,14993337,2931420,2,c0000000
header,7,14993373,0,0,c4000000
ready,6,14993374,37,2,cc000000
present,6,15975195,2002000,2,c0000000
complete,7,17096061,2102724,0,c0000000
header,8,17096097,0,1,c4000000
ready,7,17096098,37,0,cc000000
present,7,17977195,2002000,0,c0000000
complete,8,18912925,1816864,1,c0000000
header,9,18912961,0,2,c4000000
ready,8,18912962,37,1,cc000000
present,8,19979195,2002000,1,c0000000
complete,9,20802507,1889582,2,c0000000
header,10,20802543,0,0,c4000000
ready,9,20802544,37,2,cc000000
present,9,21981195,2002000,2,c0000000
complete,10,22695972,1893465,0,c0000000
header,11,22696008,0,1,c4000000
ready,10,22696009,37,0,cc000000
present,10,23983195,2002000,0,c0000000
complete,11,24601008,1905036,1,c0000000
header,12,24601044,0,2,c4000000
ready,11,24601045,37,1,cc000000
present,11,25985195,2002000,1,c0000000
complete,12,26571783,1970775,2,c0000000
header,13,26571819,0,0,c4000000
ready,12,26571820,37,2,cc000000
present,12,27987195,2002000,2,c0000000
complete,13,28543231,1971448,0,c0000000
header,14,28543267,0,1,c4000000
ready,13,28543268,37,0,cc000000
present,13,29989195,2002000,0,c0000000
complete,14,30521847,1978616,1,c0000000
header,15,30521883,0,2,c4000000
ready,14,30521884,37,1,cc000000
present,14,31991195,2002000,1,c0000000
complete,15,32515536,1993689,2,c0000000
header,16,32515572,0,0,c4000000
ready,15,32515573,37,2,cc000000
present,15,33993195,2002000,2,c0000000
complete,16,34508507,1992971,0,c0000000
header,17,34508543,0,1,c4000000
ready,16,34508544,37,0,cc000000
present,16,35995195,2002000,0,c0000000
complete,17,36504689,1996182,1,c0000000
header,18,36504725,0,2,c4000000
ready,17,36504726,37,1,cc000000
present,17,37997195,2002000,1,c0000000
complete,18,38507878,2003189,2,c0000000
header,19,38507914,0,0,c4000000
ready,18,38507915,37,2,cc000000
present,18,39999195,2002000,2,c0000000
complete,19,40517066,2009188,0,c0000000
header,20,40517102,0,1,c4000000
ready,19,40517103,37,0,cc000000
present,19,42001195,2002000,0,c0000000
complete,20,42526314,2009248,1,c0000000
header,21,42526350,0,2,c4000000
ready,20,42526351,37,1,cc000000
present,20,44003195,2002000,1,c0000000
complete,21,44538047,2011733,2,c0000000
header,22,44538083,0,0,c4000000
ready,21,44538084,37,2,cc000000
present,21,46005195,2002000,2,c0000000
complete,22,46551251,2013204,0,c0000000
header,23,46551287,0,1,c4000000
ready,22,46551288,37,0,cc000000
present,22,48007195,2002000,0,c0000000
complete,23,48687783,2136532,1,c0000000
header,24,48687819,0,2,c4000000
ready,23,48687820,37,1,cc000000
present,23,50009195,2002000,1,c0000000
complete,24,50664286,1976503,2,c0000000
header,25,50664322,0,0,c4000000
ready,24,50664323,37,2,cc000000
present,24,52011195,2002000,2,c0000000
complete,25,52650697,1986411,0,c0000000
header,26,52650733,0,1,c4000000
ready,25,52650734,37,0,cc000000
present,25,54013195,2002000,0,c0000000
complete,26,54632708,1982011,1,c0000000
header,27,54632744,0,2,c4000000
ready,26,54632745,37,1,cc000000
present,26,56015195,2002000,1,c0000000
complete,27,56613653,1980945,2,c0000000
header,28,56613689,0,0,c4000000
ready,27,56613690,37,2,cc000000
present,27,58017195,2002000,2,c0000000
complete,28,58611582,1997929,0,c0000000
header,29,58611618,0,1,c4000000
ready,28,58611619,37,0,cc000000
present,28,60019195,2002000,0,c0000000
complete,29,60610917,1999335,1,c0000000
header,30,60610953,0,2,c4000000
ready,29,60610954,37,1,cc000000
present,29,62021195,2002000,1,c0000000
complete,30,62609469,1998552,2,c0000000
header,31,62609505,0,0,c4000000
ready,30,62609506,37,2,cc000000
present,30,64023195,2002000,2,c0000000
complete,31,64726727,2117258,0,c0000000
header,32,64726763,0,1,c4000000
ready,31,64726764,37,0,cc000000
present,31,66025195,2002000,0,c0000000
complete,32,66704059,1977332,1,c0000000
header,33,66704095,0,2,c4000000
ready,32,66704096,37,1,cc000000
present,32,68027195,2002000,1,c0000000
complete,33,68680095,1976036,2,c0000000
header,34,68680131,0,0,c4000000
ready,33,68680132,37,2,cc000000
present,33,70029195,2002000,2,c0000000
complete,34,70668899,1988804,0,c0000000
header,35,70668935,0,1,c4000000
ready,34,70668936,37,0,cc000000
present,34,72031195,2002000,0,c0000000
complete,35,72773449,2104550,1,c0000000
header,36,72773485,0,2,c4000000
ready,35,72773486,37,1,cc000000
present,35,74033195,2002000,1,c0000000
complete,36,74738906,1965457,2,c0000000
header,37,74738942,0,0,c4000000
ready,36,74738943,37,2,cc000000
present,36,76035195,2002000,2,c0000000
complete,37,76718625,1979719,0,c0000000
header,38,76718661,0,1,c4000000
ready,37,76718662,37,0,cc000000
present,37,78037195,2002000,0,c0000000
complete,38,78698453,1979828,1,c0000000
header,39,78698489,0,2,c4000000
ready,38,78698490,37,1,cc000000
present,38,80039195,2002000,1,c0000000
complete,39,80796685,2098232,2,c0000000
header,40,80796721,0,0,c4000000
ready,39,80796722,37,2,cc000000
present,39,82041195,2002000,2,c0000000
complete,40,82776770,1980085,0,c0000000
header,41,82776806,0,1,c4000000
ready,40,82776807,37,0,cc000000
present,40,84043195,2002000,0,c0000000
complete,41,84756836,1980066,1,c0000000
header,42,84756872,0,2,c4000000
ready,41,84756873,37,1,cc000000
present,41,86045195,2002000,1,c0000000
complete,42,86739645,1982809,2,c0000000
header,43,86739681,0,0,c4000000
ready,42,86739682,37,2,cc000000
present,42,88047195,2002000,2,c0000000
complete,43,88846699,2107054,0,c0000000
header,44,88846735,0,1,c4000000
ready,43,88846736,37,0,cc000000
present,43,90049195,2002000,0,c0000000
complete,44,90839651,1992952,1,c0000000
header,45,90839687,0,2,c4000000
ready,44,90839688,37,1,cc000000
present,44,92051195,2002000,1,c0000000
complete,45,92837465,1997814,2,c0000000
header,46,92837501,0,0,c4000000
ready,45,92837502,37,2,cc000000
present,45,94053195,2002000,2,c0000000
complete,46,94839191,2001726,0,c0000000
header,47,94839227,0,1,c4000000
ready,46,94839228,37,0,cc000000
present,46,96055195,2002000,0,c0000000
complete,47,96844018,2004827,1,c0000000
header,48,96844054,0,2,c4000000
ready,47,96844055,37,1,cc000000
present,47,98057195,2002000,1,c0000000
complete,48,98850340,2006322,2,c0000000
header,49,98850376,0,0,c4000000
ready,48,98850377,37,2,cc000000
present,48,100059195,2002000,2,c0000000
complete,49,100857711,2007371,0,c0000000
header,50,100857747,0,1,c4000000
ready,49,100857748,37,0,cc000000
present,49,102061195,2002000,0,c0000000
complete,50,102864635,2006924,1,c0000000
header,51,102864671,0,2,c4000000
ready,50,102864672,37,1,cc000000
present,50,104063195,2002000,1,c0000000
complete,51,104875139,2010504,2,c0000000
header,52,104875175,0,0,c4000000
ready,51,104875176,37,2,cc000000
present,51,106065195,2002000,2,c0000000
complete,52,106884928,2009789,0,c0000000
header,53,106884964,0,1,c4000000
ready,52,106884965,37,0,cc000000
present,52,108067195,2002000,0,c0000000
complete,53,108895307,2010379,1,c0000000
header,54,108895343,0,2,c4000000
ready,53,108895344,37,1,cc000000
present,53,110069195,2002000,1,c0000000
complete,54,110902547,2007240,2,c0000000
header,55,110902583,0,0,c4000000
ready,54,110902584,37,2,cc000000
present,54,112071195,2002000,2,c0000000
complete,55,112908643,2006096,0,c0000000
header,56,112908679,0,1,c4000000
ready,55,112908680,37,0,cc000000
present,55,114073195,2002000,0,c0000000
complete,56,115043800,2135157,1,c0000000
header,57,115043836,0,2,c4000000
ready,56,115043837,37,1,cc000000
present,56,116075195,2002000,1,c0000000
complete,57,117023817,1980017,2,c0000000
header,58,117023853,0,0,c4000000
ready,57,117023854,37,2,cc000000
present,57,118077195,2002000,2,c0000000
complete,58,119017405,1993588,0,c0000000
header,59,119017441,0,1,c4000000
ready,58,119017442,37,0,cc000000
present,58,120079195,2002000,0,c0000000
complete,59,121008635,1991230,1,c0000000
header,60,121008671,0,2,c4000000
ready,59,121008672,37,1,cc000000
present,59,122081195,2002000,1,c0000000
complete,60,122992419,1983784,2,c0000000
header,61,122992455,0,0,c4000000
ready,60,122992456,37,2,cc000000
present,60,124083195,2002000,2,c0000000
complete,61,124971044,1978625,0,c0000000
header,62,124971080,0,1,c4000000
ready,61,124971081,37,0,cc000000
present,61,126085195,2002000,0,c0000000
complete,62,126959302,1988258,1,c0000000
header,63,126959338,0,2,c4000000
ready,62,126959339,37,1,cc000000
present,62,128087195,2002000,1,c0000000
complete,63,128947965,1988663,2,c0000000
header,64,128948001,0,0,c4000000
ready,63,128948002,37,2,cc000000
present,63,130089195,2002000,2,c0000000
complete,64,131054708,2106743,0,c0000000
header,65,131054744,0,1,c4000000
ready,64,131054745,37,0,cc000000
present,64,132091195,2002000,0,c0000000
complete,65,133038773,1984065,1,c0000000
header,66,133038809,0,2,c4000000
ready,65,133038810,37,1,cc000000
present,65,134093195,2002000,1,c0000000
complete,66,135020035,1981262,2,c0000000
header,67,135020071,0,0,c4000000
ready,66,135020072,37,2,cc000000
present,66,136095195,2002000,2,c0000000
complete,67,137117963,2097928,0,c0000000
header,68,137117999,0,1,c4000000
ready,67,137118000,37,0,cc000000
present,67,138097195,2002000,0,c0000000
complete,68,139075822,1957859,1,c0000000
header,69,139075858,0,2,c4000000
ready,68,139075859,37,1,cc000000
present,68,140099195,2002000,1,c0000000
complete,69,141043524,1967702,2,c0000000
header,70,141043560,0,0,c4000000
ready,69,141043561,37,2,cc000000
present,69,142101195,2002000,2,c0000000
complete,70,143124449,2080925,0,c0000000
header,71,143124485,0,1,c4000000
ready,70,143124486,37,0,cc000000
present,70,144103195,2002000,0,c0000000
complete,71,145085172,1960723,1,c0000000
header,72,145085208,0,2,c4000000
ready,71,145085209,37,1,cc000000
present,71,146105195,2002000,1,c0000000
complete,72,147155599,2070427,2,c0000000
header,73,147155635,0,0,c4000000
ready,72,147155636,37,2,cc000000
present,72,148107195,2002000,2,c0000000
complete,73,149105211,1949612,0,c0000000
header,74,149105247,0,1,c4000000
ready,73,149105248,37,0,cc000000
present,73,150109195,2002000,0,c0000000
complete,74,151161762,2056551,1,c0000000
header,75,151161798,0,2,c4000000
ready,74,151161799,37,1,cc000000
present,74,152111195,2002000,1,c0000000
complete,75,153108463,1946701,2,c0000000
header,76,153108499,0,0,c4000000
ready,75,153108500,37,2,cc000000
present,75,154113195,2002000,2,c0000000
complete,76,155172035,2063572,0,c0000000
header,77,155172071,0,1,c4000000
ready,76,155172072,37,0,cc000000
