event,picture,cycle,interval,bank,debug
header,1,43,0,0,80000000
complete,1,1853367,1853367,0,80000000
header,2,1853403,0,1,c0000000
complete,2,3763733,1910366,1,c0000000
header,3,3763769,0,2,c4000000
ready,2,3763770,37,1,cc000000
complete,3,5801566,2037833,2,cc000000
header,4,5801602,0,0,cc000000
present,2,7967195,6113828,1,cc000000
present,3,9969195,2002000,2,c0000000
complete,4,10001923,4200357,0,c0000000
header,5,10001959,0,1,c4000000
ready,4,10001960,37,0,cc000000
present,4,11971195,2002000,0,c0000000
complete,5,12029577,2027654,1,c0000000
header,6,12029613,0,2,c4000000
ready,5,12029614,37,1,cc000000
present,5,13973195,2002000,1,c0000000
complete,6,14944849,2915272,2,c0000000
header,7,14944885,0,0,c4000000
ready,6,14944886,37,2,cc000000
present,6,15975195,2002000,2,c0000000
complete,7,17001277,2056428,0,c0000000
header,8,17001313,0,1,c4000000
ready,7,17001314,37,0,cc000000
present,7,17977195,2002000,0,c0000000
complete,8,18863492,1862215,1,c0000000
header,9,18863528,0,2,c4000000
ready,8,18863529,37,1,cc000000
present,8,19979195,2002000,1,c0000000
complete,9,20714538,1851046,2,c0000000
header,10,20714574,0,0,c4000000
ready,9,20714575,37,2,cc000000
present,9,21981195,2002000,2,c0000000
complete,10,22585415,1870877,0,c0000000
header,11,22585451,0,1,c4000000
ready,10,22585452,37,0,cc000000
present,10,23983195,2002000,0,c0000000
complete,11,24479079,1893664,1,c0000000
header,12,24479115,0,2,c4000000
ready,11,24479116,37,1,cc000000
present,11,25985195,2002000,1,c0000000
complete,12,26370081,1891002,2,c0000000
header,13,26370117,0,0,c4000000
ready,12,26370118,37,2,cc000000
present,12,27987195,2002000,2,c0000000
complete,13,28314621,1944540,0,c0000000
header,14,28314657,0,1,c4000000
ready,13,28314658,37,0,cc000000
present,13,29989195,2002000,0,c0000000
complete,14,30253755,1939134,1,c0000000
header,15,30253791,0,2,c4000000
ready,14,30253792,37,1,cc000000
present,14,31991195,2002000,1,c0000000
complete,15,32191447,1937692,2,c0000000
header,16,32191483,0,0,c4000000
ready,15,32191484,37,2,cc000000
present,15,33993195,2002000,2,c0000000
complete,16,34162210,1970763,0,c0000000
header,17,34162246,0,1,c4000000
ready,16,34162247,37,0,cc000000
present,16,35995195,2002000,0,c0000000
complete,17,36101775,1939565,1,c0000000
header,18,36101811,0,2,c4000000
ready,17,36101812,37,1,cc000000
present,17,37997195,2002000,1,c0000000
complete,18,38082233,1980458,2,c0000000
header,19,38082269,0,0,c4000000
ready,18,38082270,37,2,cc000000
present,18,39999195,2002000,2,c0000000
complete,19,40032867,1950634,0,c0000000
header,20,40032903,0,1,c4000000
ready,19,40032904,37,0,cc000000
complete,20,41983868,1951001,1,cc000000
header,21,41983904,0,2,cc000000
present,19,42001195,2002000,0,cc000000
complete,21,43954365,1970497,2,cc000000
header,22,43954401,0,0,cc000000
present,20,44003195,2002000,1,cc000000
complete,22,45957740,2003375,0,cc000000
header,23,45957776,0,1,cc000000
present,21,46005195,2002000,2,cc000000
complete,23,47954607,1996867,1,cc000000
header,24,47954643,0,2,cc000000
present,22,48007195,2002000,0,cc000000
complete,24,49956244,2001637,2,cc000000
header,25,49956280,0,0,cc000000
present,23,50009195,2002000,1,cc000000
complete,25,51954857,1998613,0,cc000000
header,26,51954893,0,1,cc000000
present,24,52011195,2002000,2,cc000000
complete,26,53924862,1970005,1,cc000000
header,27,53924898,0,2,cc000000
