picture,complete_cycle,header_to_complete,pipeline_wait,parsed_bits,refill_wait,capacity_blocked,presentation_hold,ack_latency_sum,ack_count,recon_latency_sum
1,1853367,1853324,1628100,201120,24086,0,0,1620000,8100,1620000
2,3763733,1910330,1628100,251824,30388,0,0,1620000,8100,1620000
3,5801566,2037797,1628100,365096,44583,0,0,1620000,8100,1620000
4,10001923,4200321,1628100,362392,44218,0,2165593,1620000,8100,1620000
5,12029577,2027618,1628100,356096,43404,0,0,1620000,8100,1620000
6,14944849,2915236,1628100,1145040,142078,0,0,1620000,8100,1620000
7,17001277,2056392,1628100,381672,46602,0,0,1620000,8100,1620000
8,18863492,1862179,1628100,209000,25061,0,0,1620000,8100,1620000
9,20714538,1851010,1628100,199072,23820,0,0,1620000,8100,1620000
10,22585415,1870841,1628100,216712,26011,0,0,1620000,8100,1620000
11,24479079,1893628,1628100,236960,28550,0,0,1620000,8100,1620000
12,26370081,1890966,1628100,234592,28256,0,0,1620000,8100,1620000
13,28314621,1944504,1628100,282192,34194,0,0,1620000,8100,1620000
14,30253755,1939098,1628100,277344,33636,0,0,1620000,8100,1620000
15,32191447,1937656,1628100,276080,33458,0,0,1620000,8100,1620000
16,34162210,1970727,1628100,305504,37105,0,0,1620000,8100,1620000
17,36101775,1939529,1628100,277720,33691,0,0,1620000,8100,1620000
18,38082233,1980422,1628100,314088,38216,0,0,1620000,8100,1620000
19,40032867,1950598,1628100,287576,34904,0,0,1620000,8100,1620000
20,41983868,1950965,1628100,287888,34959,0,0,1620000,8100,1620000
21,43954365,1970461,1628100,289880,35172,0,17291,1620000,8100,1620000
22,45957740,2003339,1628100,291144,35283,0,48794,1620000,8100,1620000
23,47954607,1996831,1628100,286544,34750,0,47419,1620000,8100,1620000
24,49956244,2001601,1628100,286240,34691,0,52552,1620000,8100,1620000
25,51954857,1998577,1628100,283232,34312,0,52915,1620000,8100,1620000
26,53924862,1969969,1628100,254792,30757,0,56302,1620000,8100,1620000
27,55925495,2000597,1628100,253560,30622,0,88297,1620000,8100,1620000
28,57927656,2002125,1628100,253656,30687,0,89664,1620000,8100,1620000
