event,picture,cycle,interval,bank,debug
header,1,43,0,0,80000000
complete,1,1949226,1949226,0,80000000
header,2,1949262,0,1,c0000000
complete,2,3989802,2040576,1,c0000000
header,3,3989838,0,2,c4000000
ready,2,3989839,37,1,cc000000
complete,3,6027582,2037780,2,cc000000
header,4,6027618,0,0,cc000000
present,2,6276754,4327528,1,cc000000
present,3,8278754,2002000,2,c0000000
complete,4,8311437,2283855,0,c0000000
header,5,8311473,0,1,c4000000
ready,4,8311474,37,0,cc000000
present,4,10280754,2002000,0,c0000000
complete,5,10339076,2027639,1,c0000000
header,6,10339112,0,2,c4000000
ready,5,10339113,37,1,cc000000
present,5,12282754,2002000,1,c0000000
complete,6,13254296,2915220,2,c0000000
header,7,13254332,0,0,c4000000
ready,6,13254333,37,2,cc000000
present,6,14284754,2002000,2,c0000000
complete,7,15340820,2086524,0,c0000000
header,8,15340856,0,1,c4000000
ready,7,15340857,37,0,cc000000
present,7,16286754,2002000,0,c0000000
complete,8,17141484,1800664,1,c0000000
header,9,17141520,0,2,c4000000
ready,8,17141521,37,1,cc000000
present,8,18288754,2002000,1,c0000000
complete,9,19014866,1873382,2,c0000000
header,10,19014902,0,0,c4000000
ready,9,19014903,37,2,cc000000
present,9,20290754,2002000,2,c0000000
complete,10,20892131,1877265,0,c0000000
header,11,20892167,0,1,c4000000
ready,10,20892168,37,0,cc000000
present,10,22292754,2002000,0,c0000000
complete,11,22780967,1888836,1,c0000000
header,12,22781003,0,2,c4000000
ready,11,22781004,37,1,cc000000
present,11,24294754,2002000,1,c0000000
complete,12,24735542,1954575,2,c0000000
header,13,24735578,0,0,c4000000
ready,12,24735579,37,2,cc000000
present,12,26296754,2002000,2,c0000000
complete,13,26690790,1955248,0,c0000000
header,14,26690826,0,1,c4000000
ready,13,26690827,37,0,cc000000
present,13,28298754,2002000,0,c0000000
complete,14,28653206,1962416,1,c0000000
header,15,28653242,0,2,c4000000
ready,14,28653243,37,1,cc000000
present,14,30300754,2002000,1,c0000000
complete,15,30630695,1977489,2,c0000000
header,16,30630731,0,0,c4000000
ready,15,30630732,37,2,cc000000
present,15,32302754,2002000,2,c0000000
complete,16,32607466,1976771,0,c0000000
header,17,32607502,0,1,c4000000
ready,16,32607503,37,0,cc000000
present,16,34304754,2002000,0,c0000000
complete,17,34587448,1979982,1,c0000000
header,18,34587484,0,2,c4000000
ready,17,34587485,37,1,cc000000
present,17,36306754,2002000,1,c0000000
complete,18,36574437,1986989,2,c0000000
header,19,36574473,0,0,c4000000
ready,18,36574474,37,2,cc000000
present,18,38308754,2002000,2,c0000000
complete,19,38567425,1992988,0,c0000000
header,20,38567461,0,1,c4000000
ready,19,38567462,37,0,cc000000
present,19,40310754,2002000,0,c0000000
complete,20,40560473,1993048,1,c0000000
header,21,40560509,0,2,c4000000
ready,20,40560510,37,1,cc000000
present,20,42312754,2002000,1,c0000000
complete,21,42556006,1995533,2,c0000000
header,22,42556042,0,0,c4000000
ready,21,42556043,37,2,cc000000
present,21,44314754,2002000,2,c0000000
complete,22,44553010,1997004,0,c0000000
header,23,44553046,0,1,c4000000
ready,22,44553047,37,0,cc000000
present,22,46316754,2002000,0,c0000000
complete,23,46673342,2120332,1,c0000000
header,24,46673378,0,2,c4000000
ready,23,46673379,37,1,cc000000
present,23,48318754,2002000,1,c0000000
complete,24,48633645,1960303,2,c0000000
header,25,48633681,0,0,c4000000
ready,24,48633682,37,2,cc000000
present,24,50320754,2002000,2,c0000000
