picture,complete_cycle,header_to_complete,pipeline_wait,parsed_bits,refill_wait,capacity_blocked,presentation_hold,ack_latency_sum,ack_count,recon_latency_sum
1,1949226,1949183,1628100,286336,34729,0,0,1620000,8100,1620000
2,3989802,2040540,1628100,367528,44894,0,0,1620000,8100,1620000
3,6027582,2037744,1628100,365064,44562,0,0,1620000,8100,1620000
4,8311437,2283819,1628100,362368,44197,0,249136,1620000,8100,1620000
5,10339076,2027603,1628100,356080,43405,0,0,1620000,8100,1620000
6,13254296,2915184,1628100,1144992,142074,0,0,1620000,8100,1620000
7,15340820,2086488,1628100,408384,49986,0,0,1620000,8100,1620000
8,17141484,1800628,1628100,154280,18230,0,0,1620000,8100,1620000
9,19014866,1873346,1628100,218928,26300,0,0,1620000,8100,1620000
10,20892131,1877229,1628100,222400,26711,0,0,1620000,8100,1620000
11,22780967,1888800,1628100,232648,28034,0,0,1620000,8100,1620000
12,24735542,1954539,1628100,291040,35381,0,0,1620000,8100,1620000
13,26690790,1955212,1628100,291680,35414,0,0,1620000,8100,1620000
14,28653206,1962380,1628100,298088,36174,0,0,1620000,8100,1620000
15,30630695,1977453,1628100,311472,37863,0,0,1620000,8100,1620000
16,32607466,1976735,1628100,310848,37769,0,0,1620000,8100,1620000
17,34587448,1979946,1628100,313720,38108,0,0,1620000,8100,1620000
18,36574437,1986953,1628100,319968,38867,0,0,1620000,8100,1620000
19,38567425,1992952,1628100,325232,39602,0,0,1620000,8100,1620000
20,40560473,1993012,1628100,325264,39630,0,0,1620000,8100,1620000
21,42556006,1995497,1628100,327472,39907,0,0,1620000,8100,1620000
22,44553010,1996968,1628100,328824,40026,0,0,1620000,8100,1620000
23,46673342,2120296,1628100,438376,53802,0,0,1620000,8100,1620000
24,48633645,1960267,1628100,296208,35941,0,0,1620000,8100,1620000
25,50603856,1970175,1628100,305000,37057,0,0,1620000,8100,1620000
26,52569667,1965775,1628100,301080,36577,0,0,1620000,8100,1620000
27,54534412,1964709,1628100,300112,36479,0,0,1620000,8100,1620000
28,56516141,1981693,1628100,315200,38375,0,0,1620000,8100,1620000
29,58499276,1983099,1628100,316496,38485,0,0,1620000,8100,1620000
30,60481628,1982316,1628100,315744,38454,0,0,1620000,8100,1620000
31,62582686,2101022,1628100,421328,51576,0,0,1620000,8100,1620000
32,64543818,1961096,1628100,296920,36058,0,0,1620000,8100,1620000
33,66503654,1959800,1628100,295768,35914,0,0,1620000,8100,1620000
34,68476258,1972568,1628100,307104,37346,0,0,1620000,8100,1620000
35,70564608,2088314,1628100,410008,50188,0,0,1620000,8100,1620000
36,72513865,1949221,1628100,286368,34735,0,0,1620000,8100,1620000
37,74477384,1963483,1628100,298992,36373,0,0,1620000,8100,1620000
38,76441012,1963592,1628100,299096,36378,0,0,1620000,8100,1620000
39,78523044,2081996,1628100,404408,49470,0,0,1620000,8100,1620000
40,80486929,1963849,1628100,299344,36387,0,0,1620000,8100,1620000
41,82450795,1963830,1628100,299344,36368,0,0,1620000,8100,1620000
42,84417404,1966573,1628100,301784,36671,0,0,1620000,8100,1620000
43,86508258,2090818,1628100,412224,50476,0,0,1620000,8100,1620000
44,88485010,1976716,1628100,310816,37782,0,0,1620000,8100,1620000
45,90466624,1981578,1628100,315136,38324,0,0,1620000,8100,1620000
46,92452150,1985490,1628100,318672,38700,0,0,1620000,8100,1620000
47,94440777,1988591,1628100,321344,39129,0,0,1620000,8100,1620000
48,96430899,1990086,1628100,322680,39288,0,0,1620000,8100,1620000
