event,picture,cycle,interval,bank,debug
header,1,43,0,0,80000000
complete,1,1949226,1949226,0,80000000
header,2,1949262,0,1,c0000000
complete,2,3989802,2040576,1,c0000000
header,3,3989838,0,2,c4000000
ready,2,3989839,37,1,cc000000
complete,3,6027582,2037780,2,cc000000
header,4,6027618,0,0,cc000000
present,2,7967195,6017969,1,cc000000
present,3,9969195,2002000,2,c0000000
complete,4,10001878,3974296,0,c0000000
header,5,10001914,0,1,c4000000
ready,4,10001915,37,0,cc000000
present,4,11971195,2002000,0,c0000000
complete,5,12029517,2027639,1,c0000000
header,6,12029553,0,2,c4000000
ready,5,12029554,37,1,cc000000
present,5,13973195,2002000,1,c0000000
complete,6,14944737,2915220,2,c0000000
header,7,14944773,0,0,c4000000
ready,6,14944774,37,2,cc000000
present,6,15975195,2002000,2,c0000000
complete,7,17031261,2086524,0,c0000000
header,8,17031297,0,1,c4000000
ready,7,17031298,37,0,cc000000
present,7,17977195,2002000,0,c0000000
complete,8,18831925,1800664,1,c0000000
header,9,18831961,0,2,c4000000
ready,8,18831962,37,1,cc000000
present,8,19979195,2002000,1,c0000000
complete,9,20705307,1873382,2,c0000000
header,10,20705343,0,0,c4000000
ready,9,20705344,37,2,cc000000
present,9,21981195,2002000,2,c0000000
complete,10,22582572,1877265,0,c0000000
header,11,22582608,0,1,c4000000
ready,10,22582609,37,0,cc000000
present,10,23983195,2002000,0,c0000000
complete,11,24471408,1888836,1,c0000000
header,12,24471444,0,2,c4000000
ready,11,24471445,37,1,cc000000
present,11,25985195,2002000,1,c0000000
complete,12,26425983,1954575,2,c0000000
header,13,26426019,0,0,c4000000
ready,12,26426020,37,2,cc000000
present,12,27987195,2002000,2,c0000000
complete,13,28381231,1955248,0,c0000000
header,14,28381267,0,1,c4000000
ready,13,28381268,37,0,cc000000
present,13,29989195,2002000,0,c0000000
complete,14,30343647,1962416,1,c0000000
header,15,30343683,0,2,c4000000
ready,14,30343684,37,1,cc000000
present,14,31991195,2002000,1,c0000000
complete,15,32321136,1977489,2,c0000000
header,16,32321172,0,0,c4000000
ready,15,32321173,37,2,cc000000
present,15,33993195,2002000,2,c0000000
complete,16,34297907,1976771,0,c0000000
header,17,34297943,0,1,c4000000
ready,16,34297944,37,0,cc000000
present,16,35995195,2002000,0,c0000000
complete,17,36277889,1979982,1,c0000000
header,18,36277925,0,2,c4000000
ready,17,36277926,37,1,cc000000
present,17,37997195,2002000,1,c0000000
complete,18,38264878,1986989,2,c0000000
header,19,38264914,0,0,c4000000
ready,18,38264915,37,2,cc000000
present,18,39999195,2002000,2,c0000000
complete,19,40257866,1992988,0,c0000000
header,20,40257902,0,1,c4000000
ready,19,40257903,37,0,cc000000
present,19,42001195,2002000,0,c0000000
complete,20,42250914,1993048,1,c0000000
header,21,42250950,0,2,c4000000
ready,20,42250951,37,1,cc000000
present,20,44003195,2002000,1,c0000000
complete,21,44246447,1995533,2,c0000000
header,22,44246483,0,0,c4000000
ready,21,44246484,37,2,cc000000
present,21,46005195,2002000,2,c0000000
complete,22,46243451,1997004,0,c0000000
header,23,46243487,0,1,c4000000
ready,22,46243488,37,0,cc000000
present,22,48007195,2002000,0,c0000000
complete,23,48363783,2120332,1,c0000000
header,24,48363819,0,2,c4000000
ready,23,48363820,37,1,cc000000
present,23,50009195,2002000,1,c0000000
complete,24,50324086,1960303,2,c0000000
header,25,50324122,0,0,c4000000
ready,24,50324123,37,2,cc000000
present,24,52011195,2002000,2,c0000000
