event,picture,cycle,interval,bank,debug
header,1,43,0,0,80000000
complete,1,1949430,1949430,0,80000000
header,2,1949466,0,1,c0000000
complete,2,3990231,2040801,1,c0000000
header,3,3990267,0,2,c4000000
ready,2,3990268,37,1,cc000000
complete,3,6028849,2038618,2,cc000000
header,4,6028885,0,0,cc000000
present,2,7967195,6017765,1,cc000000
present,3,9969195,2002000,2,c0000000
complete,4,10002434,3973585,0,c0000000
header,5,10002470,0,1,c4000000
ready,4,10002471,37,0,cc000000
present,4,11971195,2002000,0,c0000000
complete,5,12030315,2027881,1,c0000000
header,6,12030351,0,2,c4000000
ready,5,12030352,37,1,cc000000
present,5,13973195,2002000,1,c0000000
complete,6,14945757,2915442,2,c0000000
header,7,14945793,0,0,c4000000
ready,6,14945794,37,2,cc000000
present,6,15975195,2002000,2,c0000000
complete,7,17033013,2087256,0,c0000000
header,8,17033049,0,1,c4000000
ready,7,17033050,37,0,cc000000
present,7,17977195,2002000,0,c0000000
complete,8,18833887,1800874,1,c0000000
header,9,18833923,0,2,c4000000
ready,8,18833924,37,1,cc000000
present,8,19979195,2002000,1,c0000000
complete,9,20707510,1873623,2,c0000000
header,10,20707546,0,0,c4000000
ready,9,20707547,37,2,cc000000
present,9,21981195,2002000,2,c0000000
complete,10,22585113,1877603,0,c0000000
header,11,22585149,0,1,c4000000
ready,10,22585150,37,0,cc000000
present,10,23983195,2002000,0,c0000000
complete,11,24474237,1889124,1,c0000000
header,12,24474273,0,2,c4000000
ready,11,24474274,37,1,cc000000
present,11,25985195,2002000,1,c0000000
complete,12,26429172,1954935,2,c0000000
header,13,26429208,0,0,c4000000
ready,12,26429209,37,2,cc000000
present,12,27987195,2002000,2,c0000000
complete,13,28384729,1955557,0,c0000000
header,14,28384765,0,1,c4000000
ready,13,28384766,37,0,cc000000
present,13,29989195,2002000,0,c0000000
complete,14,30347350,1962621,1,c0000000
header,15,30347386,0,2,c4000000
ready,14,30347387,37,1,cc000000
present,14,31991195,2002000,1,c0000000
complete,15,32325247,1977897,2,c0000000
header,16,32325283,0,0,c4000000
ready,15,32325284,37,2,cc000000
present,15,33993195,2002000,2,c0000000
complete,16,34302182,1976935,0,c0000000
header,17,34302218,0,1,c4000000
ready,16,34302219,37,0,cc000000
present,16,35995195,2002000,0,c0000000
complete,17,36282287,1980105,1,c0000000
header,18,36282323,0,2,c4000000
ready,17,36282324,37,1,cc000000
present,17,37997195,2002000,1,c0000000
complete,18,38269532,1987245,2,c0000000
header,19,38269568,0,0,c4000000
ready,18,38269569,37,2,cc000000
present,18,39999195,2002000,2,c0000000
complete,19,40262848,1993316,0,c0000000
header,20,40262884,0,1,c4000000
ready,19,40262885,37,0,cc000000
present,19,42001195,2002000,0,c0000000
complete,20,42256382,1993534,1,c0000000
header,21,42256418,0,2,c4000000
ready,20,42256419,37,1,cc000000
present,20,44003195,2002000,1,c0000000
complete,21,44252211,1995829,2,c0000000
header,22,44252247,0,0,c4000000
ready,21,44252248,37,2,cc000000
present,21,46005195,2002000,2,c0000000
complete,22,46249590,1997379,0,c0000000
header,23,46249626,0,1,c4000000
ready,22,46249627,37,0,cc000000
present,22,48007195,2002000,0,c0000000
complete,23,48370134,2120544,1,c0000000
header,24,48370170,0,2,c4000000
ready,23,48370171,37,1,cc000000
present,23,50009195,2002000,1,c0000000
complete,24,50330685,1960551,2,c0000000
header,25,50330721,0,0,c4000000
ready,24,50330722,37,2,cc000000
present,24,52011195,2002000,2,c0000000
complete,25,52301215,1970530,0,c0000000
header,26,52301251,0,1,c4000000
ready,25,52301252,37,0,cc000000
present,25,54013195,2002000,0,c0000000
complete,26,54267410,1966195,1,c0000000
header,27,54267446,0,2,c4000000
ready,26,54267447,37,1,cc000000
present,26,56015195,2002000,1,c0000000
complete,27,56232460,1965050,2,c0000000
header,28,56232496,0,0,c4000000
ready,27,56232497,37,2,cc000000
present,27,58017195,2002000,2,c0000000
complete,28,58214681,1982221,0,c0000000
header,29,58214717,0,1,c4000000
ready,28,58214718,37,0,cc000000
present,28,60019195,2002000,0,c0000000
complete,29,60198219,1983538,1,c0000000
header,30,60198255,0,2,c4000000
ready,29,60198256,37,1,cc000000
present,29,62021195,2002000,1,c0000000
complete,30,62180968,1982749,2,c0000000
header,31,62181004,0,0,c4000000
ready,30,62181005,37,2,cc000000
present,30,64023195,2002000,2,c0000000
complete,31,64282400,2101432,0,c0000000
header,32,64282436,0,1,c4000000
ready,31,64282437,37,0,cc000000
present,31,66025195,2002000,0,c0000000
complete,32,66243680,1961280,1,c0000000
header,33,66243716,0,2,c4000000
ready,32,66243717,37,1,cc000000
present,32,68027195,2002000,1,c0000000
complete,33,68203866,1960186,2,c0000000
header,34,68203902,0,0,c4000000
ready,33,68203903,37,2,cc000000
present,33,70029195,2002000,2,c0000000
complete,34,70176782,1972916,0,c0000000
header,35,70176818,0,1,c4000000
ready,34,70176819,37,0,cc000000
present,34,72031195,2002000,0,c0000000
complete,35,72265479,2088697,1,c0000000
header,36,72265515,0,2,c4000000
ready,35,72265516,37,1,cc000000
present,35,74033195,2002000,1,c0000000
complete,36,74215039,1949560,2,c0000000
header,37,74215075,0,0,c4000000
ready,36,74215076,37,2,cc000000
present,36,76035195,2002000,2,c0000000
complete,37,76178805,1963766,0,c0000000
header,38,76178841,0,1,c4000000
ready,37,76178842,37,0,cc000000
present,37,78037195,2002000,0,c0000000
complete,38,78142684,1963879,1,c0000000
