event,picture,cycle,interval,bank,debug
header,1,43,0,0,80000000
complete,1,1674091,1674091,0,80000000
header,2,1674127,0,1,c0000000
complete,2,3457453,1783362,1,c0000000
header,3,3457489,0,2,c4000000
ready,2,3457490,37,1,cc000000
present,2,4305711,2631620,1,c0000000
complete,3,5444224,1986771,2,c0000000
header,4,5444260,0,0,c4000000
ready,3,5444261,37,2,cc000000
present,3,6307711,2002000,2,c0000000
complete,4,7430995,1986771,0,c0000000
header,5,7431031,0,1,c4000000
ready,4,7431032,37,0,cc000000
present,4,8309711,2002000,0,c0000000
complete,5,9417766,1986771,1,c0000000
header,6,9417802,0,2,c4000000
ready,5,9417803,37,1,cc000000
present,5,10311711,2002000,1,c0000000
complete,6,11404845,1987079,2,c0000000
header,7,11404881,0,0,c4000000
ready,6,11404882,37,2,cc000000
present,6,12313711,2002000,2,c0000000
complete,7,13391886,1987041,0,c0000000
header,8,13391922,0,1,c4000000
ready,7,13391923,37,0,cc000000
present,7,14315711,2002000,0,c0000000
complete,8,15379012,1987126,1,c0000000
header,9,15379048,0,2,c4000000
ready,8,15379049,37,1,cc000000
present,8,16317711,2002000,1,c0000000
complete,9,17366080,1987068,2,c0000000
header,10,17366116,0,0,c4000000
ready,9,17366117,37,2,cc000000
present,9,18319711,2002000,2,c0000000
complete,10,19353373,1987293,0,c0000000
header,11,19353409,0,1,c4000000
ready,10,19353410,37,0,cc000000
present,10,20321711,2002000,0,c0000000
complete,11,21340561,1987188,1,c0000000
header,12,21340597,0,2,c4000000
ready,11,21340598,37,1,cc000000
present,11,22323711,2002000,1,c0000000
complete,12,23327781,1987220,2,c0000000
header,13,23327817,0,0,c4000000
ready,12,23327818,37,2,cc000000
present,12,24325711,2002000,2,c0000000
complete,13,25314917,1987136,0,c0000000
header,14,25314953,0,1,c4000000
ready,13,25314954,37,0,cc000000
present,13,26327711,2002000,0,c0000000
complete,14,27302108,1987191,1,c0000000
header,15,27302144,0,2,c4000000
ready,14,27302145,37,1,cc000000
present,14,28329711,2002000,1,c0000000
complete,15,29289272,1987164,2,c0000000
header,16,29289308,0,0,c4000000
ready,15,29289309,37,2,cc000000
present,15,30331711,2002000,2,c0000000
complete,16,31276407,1987135,0,c0000000
header,17,31276443,0,1,c4000000
ready,16,31276444,37,0,cc000000
present,16,32333711,2002000,0,c0000000
complete,17,33263598,1987191,1,c0000000
header,18,33263634,0,2,c4000000
ready,17,33263635,37,1,cc000000
present,17,34335711,2002000,1,c0000000
complete,18,35250782,1987184,2,c0000000
header,19,35250818,0,0,c4000000
ready,18,35250819,37,2,cc000000
present,18,36337711,2002000,2,c0000000
complete,19,37237909,1987127,0,c0000000
header,20,37237945,0,1,c4000000
ready,19,37237946,37,0,cc000000
present,19,38339711,2002000,0,c0000000
complete,20,39225035,1987126,1,c0000000
header,21,39225071,0,2,c4000000
ready,20,39225072,37,1,cc000000
present,20,40341711,2002000,1,c0000000
complete,21,41212141,1987106,2,c0000000
header,22,41212177,0,0,c4000000
ready,21,41212178,37,2,cc000000
present,21,42343711,2002000,2,c0000000
complete,22,43199258,1987117,0,c0000000
header,23,43199294,0,1,c4000000
ready,22,43199295,37,0,cc000000
present,22,44345711,2002000,0,c0000000
complete,23,45186391,1987133,1,c0000000
header,24,45186427,0,2,c4000000
ready,23,45186428,37,1,cc000000
present,23,46347711,2002000,1,c0000000
complete,24,47173541,1987150,2,c0000000
header,25,47173577,0,0,c4000000
ready,24,47173578,37,2,cc000000
present,24,48349711,2002000,2,c0000000
complete,25,49160657,1987116,0,c0000000
header,26,49160693,0,1,c4000000
ready,25,49160694,37,0,cc000000
present,25,50351711,2002000,0,c0000000
complete,26,51147778,1987121,1,c0000000
header,27,51147814,0,2,c4000000
ready,26,51147815,37,1,cc000000
present,26,52353711,2002000,1,c0000000
complete,27,53134845,1987067,2,c0000000
header,28,53134881,0,0,c4000000
ready,27,53134882,37,2,cc000000
present,27,54355711,2002000,2,c0000000
complete,28,55121912,1987067,0,c0000000
header,29,55121948,0,1,c4000000
ready,28,55121949,37,0,cc000000
present,28,56357711,2002000,0,c0000000
complete,29,57108918,1987006,1,c0000000
header,30,57108954,0,2,c4000000
ready,29,57108955,37,1,cc000000
present,29,58359711,2002000,1,c0000000
complete,30,59095991,1987073,2,c0000000
header,31,59096027,0,0,c4000000
ready,30,59096028,37,2,cc000000
present,30,60361711,2002000,2,c0000000
complete,31,61083099,1987108,0,c0000000
header,32,61083135,0,1,c4000000
ready,31,61083136,37,0,cc000000
present,31,62363711,2002000,0,c0000000
complete,32,63070156,1987057,1,c0000000
header,33,63070192,0,2,c4000000
ready,32,63070193,37,1,cc000000
present,32,64365711,2002000,1,c0000000
complete,33,65057182,1987026,2,c0000000
header,34,65057218,0,0,c4000000
ready,33,65057219,37,2,cc000000
present,33,66367711,2002000,2,c0000000
complete,34,67044194,1987012,0,c0000000
header,35,67044230,0,1,c4000000
ready,34,67044231,37,0,cc000000
present,34,68369711,2002000,0,c0000000
complete,35,69031256,1987062,1,c0000000
header,36,69031292,0,2,c4000000
ready,35,69031293,37,1,cc000000
present,35,70371711,2002000,1,c0000000
complete,36,71018324,1987068,2,c0000000
header,37,71018360,0,0,c4000000
ready,36,71018361,37,2,cc000000
present,36,72373711,2002000,2,c0000000
complete,37,73005374,1987050,0,c0000000
header,38,73005410,0,1,c4000000
ready,37,73005411,37,0,cc000000
present,37,74375711,2002000,0,c0000000
complete,38,74992475,1987101,1,c0000000
header,39,74992511,0,2,c4000000
ready,38,74992512,37,1,cc000000
present,38,76377711,2002000,1,c0000000
complete,39,76979551,1987076,2,c0000000
header,40,76979587,0,0,c4000000
ready,39,76979588,37,2,cc000000
present,39,78379711,2002000,2,c0000000
complete,40,78966609,1987058,0,c0000000
header,41,78966645,0,1,c4000000
ready,40,78966646,37,0,cc000000
present,40,80381711,2002000,0,c0000000
complete,41,80953703,1987094,1,c0000000
header,42,80953739,0,2,c4000000
ready,41,80953740,37,1,cc000000
present,41,82383711,2002000,1,c0000000
complete,42,82940755,1987052,2,c0000000
header,43,82940791,0,0,c4000000
ready,42,82940792,37,2,cc000000
present,42,84385711,2002000,2,c0000000
