picture,complete_cycle,header_to_complete,pipeline_wait,parsed_bits,refill_wait,capacity_blocked,presentation_hold,ack_latency_sum,ack_count,recon_latency_sum
1,1674091,1674048,1628100,42000,3930,0,0,1620000,8100,1620000
2,3457453,1783326,1628100,139136,16072,0,0,1620000,8100,1620000
3,5444224,1986735,1628100,319944,38673,0,0,1620000,8100,1620000
4,7430995,1986735,1628100,319944,38673,0,0,1620000,8100,1620000
5,9417766,1986735,1628100,319944,38673,0,0,1620000,8100,1620000
6,11404845,1987043,1628100,319944,38981,0,0,1620000,8100,1620000
7,13391886,1987005,1628100,319944,38943,0,0,1620000,8100,1620000
8,15379012,1987090,1628100,319944,39028,0,0,1620000,8100,1620000
9,17366080,1987032,1628100,319944,38970,0,0,1620000,8100,1620000
10,19353373,1987257,1628100,319944,39195,0,0,1620000,8100,1620000
11,21340561,1987152,1628100,319944,39090,0,0,1620000,8100,1620000
12,23327781,1987184,1628100,319944,39122,0,0,1620000,8100,1620000
13,25314917,1987100,1628100,319944,39038,0,0,1620000,8100,1620000
14,27302108,1987155,1628100,319944,39093,0,0,1620000,8100,1620000
15,29289272,1987128,1628100,319944,39066,0,0,1620000,8100,1620000
16,31276407,1987099,1628100,319944,39037,0,0,1620000,8100,1620000
17,33263598,1987155,1628100,319944,39093,0,0,1620000,8100,1620000
18,35250782,1987148,1628100,319944,39086,0,0,1620000,8100,1620000
19,37237909,1987091,1628100,319944,39029,0,0,1620000,8100,1620000
20,39225035,1987090,1628100,319944,39028,0,0,1620000,8100,1620000
21,41212141,1987070,1628100,319944,39008,0,0,1620000,8100,1620000
22,43199258,1987081,1628100,319944,39019,0,0,1620000,8100,1620000
23,45186391,1987097,1628100,319944,39035,0,0,1620000,8100,1620000
24,47173541,1987114,1628100,319944,39052,0,0,1620000,8100,1620000
25,49160657,1987080,1628100,319944,39018,0,0,1620000,8100,1620000
26,51147778,1987085,1628100,319944,39023,0,0,1620000,8100,1620000
27,53134845,1987031,1628100,319944,38969,0,0,1620000,8100,1620000
28,55121912,1987031,1628100,319944,38969,0,0,1620000,8100,1620000
29,57108918,1986970,1628100,319944,38908,0,0,1620000,8100,1620000
30,59095991,1987037,1628100,319944,38975,0,0,1620000,8100,1620000
31,61083099,1987072,1628100,319944,39010,0,0,1620000,8100,1620000
32,63070156,1987021,1628100,319944,38959,0,0,1620000,8100,1620000
33,65057182,1986990,1628100,319944,38928,0,0,1620000,8100,1620000
34,67044194,1986976,1628100,319944,38914,0,0,1620000,8100,1620000
35,69031256,1987026,1628100,319944,38964,0,0,1620000,8100,1620000
36,71018324,1987032,1628100,319944,38970,0,0,1620000,8100,1620000
37,73005374,1987014,1628100,319944,38952,0,0,1620000,8100,1620000
38,74992475,1987065,1628100,319944,39003,0,0,1620000,8100,1620000
39,76979551,1987040,1628100,319944,38978,0,0,1620000,8100,1620000
40,78966609,1987022,1628100,319944,38960,0,0,1620000,8100,1620000
41,80953703,1987058,1628100,319944,38996,0,0,1620000,8100,1620000
42,82940755,1987016,1628100,319944,38954,0,0,1620000,8100,1620000
43,84927835,1987044,1628100,319944,38982,0,0,1620000,8100,1620000
44,86914882,1987011,1628100,319944,38949,0,0,1620000,8100,1620000
45,88901959,1987041,1628100,319944,38979,0,0,1620000,8100,1620000
46,90889013,1987018,1628100,319944,38956,0,0,1620000,8100,1620000
47,92876060,1987011,1628100,319944,38949,0,0,1620000,8100,1620000
48,94877785,2001689,1628100,332960,40611,0,0,1620000,8100,1620000
49,96884025,2006204,1628100,336944,41142,0,0,1620000,8100,1620000
50,98837334,1953273,1628100,289928,35227,0,0,1620000,8100,1620000
