event,picture,cycle,interval,bank,debug
header,1,43,0,0,80000000
complete,1,1674091,1674091,0,80000000
header,2,1674127,0,1,c0000000
complete,2,3457453,1783362,1,c0000000
header,3,3457489,0,2,c4000000
ready,2,3457490,37,1,cc000000
present,2,4305711,2631620,1,c0000000
complete,3,6292446,2834993,2,c0000000
header,4,6292482,0,0,c4000000
ready,3,6292483,37,2,cc000000
present,3,6307711,2002000,2,c0000000
complete,4,8294446,2002000,0,c0000000
header,5,8294482,0,1,c4000000
ready,4,8294483,37,0,cc000000
present,4,8309711,2002000,0,c0000000
complete,5,10296446,2002000,1,c0000000
header,6,10296482,0,2,c4000000
ready,5,10296483,37,1,cc000000
present,5,10311711,2002000,1,c0000000
complete,6,12298754,2002308,2,c0000000
header,7,12298790,0,0,c4000000
ready,6,12298791,37,2,cc000000
present,6,12313711,2002000,2,c0000000
complete,7,14300716,2001962,0,c0000000
header,8,14300752,0,1,c4000000
ready,7,14300753,37,0,cc000000
present,7,14315711,2002000,0,c0000000
complete,8,16302801,2002085,1,c0000000
header,9,16302837,0,2,c4000000
ready,8,16302838,37,1,cc000000
present,8,16317711,2002000,1,c0000000
complete,9,18304743,2001942,2,c0000000
header,10,18304779,0,0,c4000000
ready,9,18304780,37,2,cc000000
present,9,18319711,2002000,2,c0000000
complete,10,20306968,2002225,0,c0000000
header,11,20307004,0,1,c4000000
ready,10,20307005,37,0,cc000000
present,10,20321711,2002000,0,c0000000
complete,11,22308863,2001895,1,c0000000
header,12,22308899,0,2,c4000000
ready,11,22308900,37,1,cc000000
present,11,22323711,2002000,1,c0000000
complete,12,24310895,2002032,2,c0000000
header,13,24310931,0,0,c4000000
ready,12,24310932,37,2,cc000000
present,12,24325711,2002000,2,c0000000
complete,13,26312811,2001916,0,c0000000
header,14,26312847,0,1,c4000000
ready,13,26312848,37,0,cc000000
present,13,26327711,2002000,0,c0000000
complete,14,28314866,2002055,1,c0000000
header,15,28314902,0,2,c4000000
ready,14,28314903,37,1,cc000000
present,14,28329711,2002000,1,c0000000
complete,15,30316839,2001973,2,c0000000
header,16,30316875,0,0,c4000000
ready,15,30316876,37,2,cc000000
present,15,30331711,2002000,2,c0000000
complete,16,32318810,2001971,0,c0000000
header,17,32318846,0,1,c4000000
ready,16,32318847,37,0,cc000000
present,16,32333711,2002000,0,c0000000
complete,17,34320866,2002056,1,c0000000
header,18,34320902,0,2,c4000000
ready,17,34320903,37,1,cc000000
present,17,34335711,2002000,1,c0000000
complete,18,36322859,2001993,2,c0000000
header,19,36322895,0,0,c4000000
ready,18,36322896,37,2,cc000000
present,18,36337711,2002000,2,c0000000
complete,19,38324802,2001943,0,c0000000
header,20,38324838,0,1,c4000000
ready,19,38324839,37,0,cc000000
present,19,38339711,2002000,0,c0000000
complete,20,40326801,2001999,1,c0000000
header,21,40326837,0,2,c4000000
ready,20,40326838,37,1,cc000000
present,20,40341711,2002000,1,c0000000
complete,21,42328781,2001980,2,c0000000
header,22,42328817,0,0,c4000000
ready,21,42328818,37,2,cc000000
present,21,42343711,2002000,2,c0000000
complete,22,44330792,2002011,0,c0000000
header,23,44330828,0,1,c4000000
ready,22,44330829,37,0,cc000000
present,22,44345711,2002000,0,c0000000
complete,23,46332808,2002016,1,c0000000
header,24,46332844,0,2,c4000000
ready,23,46332845,37,1,cc000000
present,23,46347711,2002000,1,c0000000
complete,24,48334825,2002017,2,c0000000
header,25,48334861,0,0,c4000000
ready,24,48334862,37,2,cc000000
present,24,48349711,2002000,2,c0000000
complete,25,50336791,2001966,0,c0000000
header,26,50336827,0,1,c4000000
ready,25,50336828,37,0,cc000000
present,25,50351711,2002000,0,c0000000
complete,26,52338796,2002005,1,c0000000
header,27,52338832,0,2,c4000000
ready,26,52338833,37,1,cc000000
present,26,52353711,2002000,1,c0000000
complete,27,54340742,2001946,2,c0000000
header,28,54340778,0,0,c4000000
ready,27,54340779,37,2,cc000000
present,27,54355711,2002000,2,c0000000
complete,28,56342742,2002000,0,c0000000
header,29,56342778,0,1,c4000000
ready,28,56342779,37,0,cc000000
present,28,56357711,2002000,0,c0000000
complete,29,58344681,2001939,1,c0000000
header,30,58344717,0,2,c4000000
ready,29,58344718,37,1,cc000000
present,29,58359711,2002000,1,c0000000
complete,30,60346748,2002067,2,c0000000
header,31,60346784,0,0,c4000000
ready,30,60346785,37,2,cc000000
present,30,60361711,2002000,2,c0000000
complete,31,62348783,2002035,0,c0000000
header,32,62348819,0,1,c4000000
ready,31,62348820,37,0,cc000000
present,31,62363711,2002000,0,c0000000
complete,32,64350732,2001949,1,c0000000
header,33,64350768,0,2,c4000000
ready,32,64350769,37,1,cc000000
present,32,64365711,2002000,1,c0000000
complete,33,66352701,2001969,2,c0000000
header,34,66352737,0,0,c4000000
ready,33,66352738,37,2,cc000000
present,33,66367711,2002000,2,c0000000
complete,34,68354687,2001986,0,c0000000
header,35,68354723,0,1,c4000000
ready,34,68354724,37,0,cc000000
present,34,68369711,2002000,0,c0000000
complete,35,70356737,2002050,1,c0000000
header,36,70356773,0,2,c4000000
ready,35,70356774,37,1,cc000000
present,35,70371711,2002000,1,c0000000
complete,36,72358743,2002006,2,c0000000
header,37,72358779,0,0,c4000000
ready,36,72358780,37,2,cc000000
present,36,72373711,2002000,2,c0000000
complete,37,74360725,2001982,0,c0000000
header,38,74360761,0,1,c4000000
ready,37,74360762,37,0,cc000000
present,37,74375711,2002000,0,c0000000
complete,38,76362776,2002051,1,c0000000
header,39,76362812,0,2,c4000000
ready,38,76362813,37,1,cc000000
present,38,76377711,2002000,1,c0000000
complete,39,78364751,2001975,2,c0000000
header,40,78364787,0,0,c4000000
ready,39,78364788,37,2,cc000000
present,39,78379711,2002000,2,c0000000
complete,40,80366733,2001982,0,c0000000
header,41,80366769,0,1,c4000000
ready,40,80366770,37,0,cc000000
present,40,80381711,2002000,0,c0000000
complete,41,82368769,2002036,1,c0000000
header,42,82368805,0,2,c4000000
ready,41,82368806,37,1,cc000000
present,41,82383711,2002000,1,c0000000
complete,42,84370727,2001958,2,c0000000
header,43,84370763,0,0,c4000000
ready,42,84370764,37,2,cc000000
present,42,84385711,2002000,2,c0000000
