picture,complete_cycle,header_to_complete,pipeline_wait,parsed_bits,refill_wait,capacity_blocked,presentation_hold,ack_latency_sum,ack_count,recon_latency_sum
1,1674091,1674048,1628100,42000,3930,0,0,1620000,8100,1620000
2,3457453,1783326,1628100,139136,16072,0,0,1620000,8100,1620000
3,6292446,2834957,1628100,319944,38673,0,848222,1620000,8100,1620000
4,8294446,2001964,1628100,319944,38673,0,15229,1620000,8100,1620000
5,10296446,2001964,1628100,319944,38673,0,15229,1620000,8100,1620000
6,12298754,2002272,1628100,319944,38981,0,15229,1620000,8100,1620000
7,14300716,2001926,1628100,319944,38943,0,14921,1620000,8100,1620000
8,16302801,2002049,1628100,319944,39028,0,14959,1620000,8100,1620000
9,18304743,2001906,1628100,319944,38970,0,14874,1620000,8100,1620000
10,20306968,2002189,1628100,319944,39195,0,14932,1620000,8100,1620000
11,22308863,2001859,1628100,319944,39090,0,14707,1620000,8100,1620000
12,24310895,2001996,1628100,319944,39122,0,14812,1620000,8100,1620000
13,26312811,2001880,1628100,319944,39038,0,14780,1620000,8100,1620000
14,28314866,2002019,1628100,319944,39093,0,14864,1620000,8100,1620000
15,30316839,2001937,1628100,319944,39066,0,14809,1620000,8100,1620000
16,32318810,2001935,1628100,319944,39037,0,14836,1620000,8100,1620000
17,34320866,2002020,1628100,319944,39093,0,14865,1620000,8100,1620000
18,36322859,2001957,1628100,319944,39086,0,14809,1620000,8100,1620000
19,38324802,2001907,1628100,319944,39029,0,14816,1620000,8100,1620000
20,40326801,2001963,1628100,319944,39028,0,14873,1620000,8100,1620000
21,42328781,2001944,1628100,319944,39008,0,14874,1620000,8100,1620000
22,44330792,2001975,1628100,319944,39019,0,14894,1620000,8100,1620000
23,46332808,2001980,1628100,319944,39035,0,14883,1620000,8100,1620000
24,48334825,2001981,1628100,319944,39052,0,14867,1620000,8100,1620000
25,50336791,2001930,1628100,319944,39018,0,14850,1620000,8100,1620000
26,52338796,2001969,1628100,319944,39023,0,14884,1620000,8100,1620000
27,54340742,2001910,1628100,319944,38969,0,14879,1620000,8100,1620000
28,56342742,2001964,1628100,319944,38969,0,14933,1620000,8100,1620000
29,58344681,2001903,1628100,319944,38908,0,14933,1620000,8100,1620000
30,60346748,2002031,1628100,319944,38975,0,14994,1620000,8100,1620000
31,62348783,2001999,1628100,319944,39010,0,14927,1620000,8100,1620000
32,64350732,2001913,1628100,319944,38959,0,14892,1620000,8100,1620000
33,66352701,2001933,1628100,319944,38928,0,14943,1620000,8100,1620000
34,68354687,2001950,1628100,319944,38914,0,14974,1620000,8100,1620000
35,70356737,2002014,1628100,319944,38964,0,14988,1620000,8100,1620000
36,72358743,2001970,1628100,319944,38970,0,14938,1620000,8100,1620000
37,74360725,2001946,1628100,319944,38952,0,14932,1620000,8100,1620000
38,76362776,2002015,1628100,319944,39003,0,14950,1620000,8100,1620000
39,78364751,2001939,1628100,319944,38978,0,14899,1620000,8100,1620000
40,80366733,2001946,1628100,319944,38960,0,14924,1620000,8100,1620000
41,82368769,2002000,1628100,319944,38996,0,14942,1620000,8100,1620000
42,84370727,2001922,1628100,319944,38954,0,14906,1620000,8100,1620000
43,86372755,2001992,1628100,319944,38982,0,14948,1620000,8100,1620000
44,88374722,2001931,1628100,319944,38949,0,14920,1620000,8100,1620000
45,90376752,2001994,1628100,319944,38979,0,14953,1620000,8100,1620000
46,92378729,2001941,1628100,319944,38956,0,14923,1620000,8100,1620000
47,94380722,2001957,1628100,319944,38949,0,14946,1620000,8100,1620000
48,96397400,2016642,1628100,332960,40611,0,14953,1620000,8100,1620000
49,98403915,2006479,1628100,336944,41142,0,275,1620000,8100,1620000
