cycle,event,id,field,byte,selected_id,candidate_id,candidate_ready,cadence_slot,pts_active,pts_due,stc,display_pts,display_pts_valid,tff,rff,present,generation,decoder_wait,presentation_wait,destination_wait,writer_wait,state,decoder_ready,cache_ready,prefill_miss,phase_error,overlap_error
0,PTS,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2147483648,0,0,0,0,0
172,START,0,0,166,0,0,0,1,0,0,48003,0,0,1,0,0,0,7,0,0,0,2147483648,1,0,0,0,0
994754,SELECT,0,0,4484,0,0,0,1,0,0,49495,0,0,1,0,0,0,990270,0,0,4620,2147483648,0,0,0,0,0
1692822,START,1,0,7506,0,0,0,0,0,0,50542,0,0,1,0,0,1,1685317,0,0,7890,2147483648,1,0,0,0,0
1692823,READY,0,0,7506,0,0,0,0,0,0,50542,0,0,1,0,0,1,1685317,0,0,7890,2147483648,0,0,0,0,0
1909960,FIELD,0,0,7636,0,0,0,0,0,0,50867,48003,0,1,0,0,1,1902324,0,0,12787,3221225472,0,1,0,0,0
2522650,READY,1,1,7889,0,0,0,0,0,0,51786,48003,0,1,0,0,1,2514762,0,0,26110,3221225472,1,1,0,0,0
2522651,START,2,1,7890,0,1,0,0,0,0,51786,48003,0,1,0,0,1,2514762,0,0,26110,3288334336,1,1,0,0,0
2776281,PTS,1,1,8065,0,1,0,0,0,0,52167,48003,0,1,0,0,1,2768217,0,0,32508,1073742405,1,1,0,0,0
2912866,FIELD,0,1,8128,0,1,0,0,0,0,52372,48003,0,1,0,0,1,2904738,0,0,35967,1073742405,0,1,0,0,0
2996760,PUBLISH,0,2,8176,0,1,0,0,0,0,52498,48003,0,1,0,1,1,2988584,0,0,38091,1073742405,0,1,0,0,0
3226552,READY,2,2,8272,0,1,0,0,0,0,52842,48003,0,1,0,1,1,3218280,0,0,55853,1073742405,0,1,0,0,0
3226554,START,3,2,8274,0,2,1,0,0,0,52842,48003,0,1,0,1,1,3218281,0,0,55853,1073742409,1,1,0,0,0
3911960,FIELD,0,2,8656,0,2,1,0,0,0,53870,48003,0,1,0,1,1,3903304,0,0,109245,1073742925,0,1,0,0,0
3955645,READY,3,3,8656,0,2,1,0,0,0,53936,48003,0,1,0,1,1,3946989,0,0,110348,1073742925,0,1,0,0,0
3955647,START,4,3,8658,0,2,1,0,0,0,53936,48003,0,1,0,1,1,3946990,0,0,110348,1073742937,1,1,0,0,0
4832669,READY,4,3,9041,0,2,1,0,0,0,55252,48003,0,1,0,1,1,4823629,0,0,171012,1073744987,1,1,0,0,0
4914866,FIELD,0,3,9041,0,2,1,1,0,0,55375,48003,0,1,0,1,1,4823629,82196,0,171012,1140855899,1,1,0,0,0
4914867,SELECT,2,4,9041,2,3,1,0,1,0,55375,48003,0,1,1,1,1,4823629,82197,0,171012,1140856179,1,1,0,0,0
4998760,PUBLISH,2,4,9041,2,3,1,0,1,0,55501,48003,0,1,1,1,2,4823629,166090,0,171012,1140856179,1,1,0,0,0
5913960,FIELD,2,4,9041,2,3,1,0,1,1,56873,48003,0,1,1,1,2,4823629,1081290,0,171012,1140856179,1,1,0,0,0
6916866,FIELD,2,5,9041,2,3,1,0,1,1,58378,48003,0,1,1,1,2,4823629,2084196,0,171012,1140856179,1,1,0,0,0
7915960,FIELD,2,6,9041,2,3,1,1,1,1,59876,48003,0,1,1,1,2,4823629,3083290,0,171012,1140856179,1,1,0,0,0
7915961,START,5,7,9042,3,1,1,0,0,0,59876,55511,1,0,0,1,2,4823629,3083291,0,171012,1140856131,1,1,0,0,0
7915961,SELECT,3,7,9042,3,1,1,0,0,0,59876,55511,1,0,0,1,2,4823629,3083291,0,171012,1140856131,1,1,0,0,0
8003666,PUBLISH,3,7,9124,3,1,1,0,0,0,60008,55511,1,0,0,1,3,4911251,3083291,0,173438,1091872067,0,1,0,0,0
8642329,READY,5,7,9424,3,1,1,0,0,0,60966,55511,1,0,0,1,3,5549614,3083291,0,222821,1091872067,0,1,0,0,0
8918866,FIELD,3,7,9425,3,1,1,0,0,0,61381,55511,1,0,0,1,3,5549615,3359826,0,222821,1091904835,1,1,0,0,0
9917960,FIELD,3,8,9425,3,1,1,1,0,0,62879,55511,1,0,0,1,3,5549615,4358920,0,222821,1091904835,1,1,0,0,0
9917961,SELECT,1,9,9425,1,4,0,0,0,0,62879,48003,0,0,1,1,3,5549615,4358921,0,222821,1125459203,1,1,0,0,0
9917962,START,6,9,9426,1,5,1,0,0,0,62879,48003,0,0,1,1,4,5549615,4358922,0,222821,1073742409,1,0,0,0,0
10005666,PUBLISH,1,9,9508,1,5,1,0,0,0,63011,48003,0,0,1,1,4,5637236,4358922,0,225264,1073742925,0,1,0,0,0
10644413,READY,6,9,9808,1,5,1,0,0,0,63969,48003,0,0,1,1,4,6275683,4358922,0,274713,1073742925,0,1,0,0,0
10644415,START,7,9,9810,1,5,1,0,0,0,63969,48003,0,0,1,1,4,6275684,4358922,0,274713,1073742937,1,1,0,0,0
10920866,FIELD,1,9,9964,1,5,1,0,0,0,64384,48003,0,0,1,1,4,6551980,4358922,0,294579,1073744987,0,1,0,0,0
11519306,READY,7,10,10193,1,5,1,0,0,0,65281,48003,0,0,1,1,4,7150192,4358922,0,333564,1073744987,1,1,0,0,0
11919960,FIELD,1,10,10193,1,5,1,0,0,0,65882,48003,0,0,1,1,4,7150192,4759575,0,333564,1140855899,1,1,0,0,0
12922866,FIELD,1,11,10193,1,5,1,1,0,0,67387,48003,0,0,1,1,4,7150192,5762481,0,333564,1140855899,1,1,0,0,0
12922867,SELECT,5,12,10193,5,6,1,0,0,0,67387,55511,0,1,0,1,4,7150192,5762482,0,333564,1140856179,1,1,0,0,0
13006760,PUBLISH,5,12,10193,5,6,1,0,0,0,67513,55511,0,1,0,1,5,7150192,5846375,0,333564,1140856179,1,1,0,0,0
13921960,FIELD,5,12,10193,5,6,1,0,0,0,68885,55511,0,1,0,1,5,7150192,6761575,0,333564,1140856179,1,1,0,0,0
14924867,FIELD,5,13,10193,5,6,1,1,0,0,70390,55511,0,1,0,1,5,7150192,7764482,0,333564,1140856179,1,1,0,0,0
14924868,START,8,14,10194,6,4,1,0,0,0,70390,55511,0,1,1,1,5,7150192,7764483,0,333564,1140856131,1,1,0,0,0
14924868,SELECT,6,14,10194,6,4,1,0,0,0,70390,55511,0,1,1,1,5,7150192,7764483,0,333564,1140856131,1,1,0,0,0
15008760,PUBLISH,6,14,10276,6,4,1,0,0,0,70516,55511,0,1,1,1,6,7234001,7764483,0,335671,1091872067,0,1,0,0,0
15651512,READY,8,14,10576,6,4,1,0,0,0,71480,55511,0,1,1,1,6,7876453,7764483,0,385382,1091872067,0,1,0,0,0
15923960,FIELD,6,14,10577,6,4,1,0,0,0,71888,55511,0,1,1,1,6,7876454,8036929,0,385382,1091904835,1,1,0,0,0
16926867,FIELD,6,15,10577,6,4,1,0,0,0,73393,55511,0,1,1,1,6,7876454,9039836,0,385382,1091904835,1,1,0,0,0
17925960,FIELD,6,16,10577,6,4,1,1,0,0,74891,55511,0,1,1,1,6,7876454,10038929,0,385382,1091904835,1,1,0,0,0
17925961,SELECT,4,17,10577,4,7,0,0,0,0,74891,55511,0,0,0,1,6,7876454,10038930,0,385382,1125459203,1,1,0,0,0
17925962,START,9,17,10578,4,8,1,0,0,0,74891,55511,0,0,0,1,7,7876454,10038931,0,385382,1073742409,1,0,0,0,0
18013666,PUBLISH,4,17,10660,4,8,1,0,0,0,75023,55511,0,0,0,1,7,7964075,10038931,0,387565,1073742925,0,1,0,0,0
18652600,READY,9,17,10960,4,8,1,0,0,0,75981,55511,0,0,0,1,7,8602709,10038931,0,437152,1073742925,0,1,0,0,0
18652602,START,10,17,10962,4,8,1,0,0,0,75981,55511,0,0,0,1,7,8602710,10038931,0,437152,1073742937,1,1,0,0,0
18928867,FIELD,4,17,11116,4,8,1,0,0,0,76396,55511,0,0,0,1,7,8878820,10038931,0,457242,1073744987,0,1,0,0,0
19526682,READY,10,18,11345,4,8,1,0,0,0,77293,55511,0,0,0,1,7,9476407,10038931,0,495716,1073744987,1,1,0,0,0
19927960,FIELD,4,18,11345,4,8,1,1,0,0,77894,55511,0,0,0,1,7,9476407,10440208,0,495716,1140855899,1,1,0,0,0
19927961,SELECT,8,19,11345,8,9,1,0,0,0,77894,55511,0,0,1,1,7,9476407,10440209,0,495716,1140856179,1,1,0,0,0
20015666,PUBLISH,8,19,11345,8,9,1,0,0,0,78026,55511,0,0,1,1,8,9476407,10527914,0,495716,1140856179,1,1,0,0,0
20930867,FIELD,8,19,11345,8,9,1,0,0,0,79399,55511,0,0,1,1,8,9476407,11443115,0,495716,1140856179,1,1,0,0,0
21929960,FIELD,8,20,11345,8,9,1,0,0,0,80897,55511,0,0,1,1,8,9476407,12442208,0,495716,1140856179,1,1,0,0,0
22932867,FIELD,8,21,11345,8,9,1,1,0,0,82402,55511,0,0,1,1,8,9476407,13445115,0,495716,1140856179,1,1,0,0,0
22932868,START,11,22,11346,9,7,1,0,0,0,82402,55511,0,1,0,1,8,9476407,13445116,0,495716,1140856131,1,1,0,0,0
22932868,SELECT,9,22,11346,9,7,1,0,0,0,82402,55511,0,1,0,1,8,9476407,13445116,0,495716,1140856131,1,1,0,0,0
23016760,PUBLISH,9,22,11428,9,7,1,0,0,0,82528,55511,0,1,0,1,9,9560216,13445116,0,498023,1091872067,0,1,0,0,0
23659704,READY,11,22,11728,9,7,1,0,0,0,83492,55511,0,1,0,1,9,10202860,13445116,0,548071,1091872067,0,1,0,0,0
23931960,FIELD,9,22,11729,9,7,1,0,0,0,83900,55511,0,1,0,1,9,10202861,13717370,0,548071,1091904835,1,1,0,0,0
24934867,FIELD,9,23,11729,9,7,1,1,0,0,85405,55511,0,1,0,1,9,10202861,14720277,0,548071,1091904835,1,1,0,0,0
24934868,SELECT,7,24,11729,7,10,0,0,0,0,85405,55511,0,1,1,1,9,10202861,14720278,0,548071,1125459203,1,1,0,0,0
24935029,START,12,24,11890,7,11,1,0,0,0,85405,55511,0,1,1,0,10,10202861,14720279,0,548071,1073742409,1,0,0,0,0
25018760,PUBLISH,7,24,12270,7,11,1,0,0,0,85531,55511,0,1,1,1,10,10286211,14720279,0,548543,1073744459,0,1,0,0,0
25933960,FIELD,7,24,16214,7,11,1,0,0,0,86903,55511,0,1,1,1,10,11197467,14720279,0,592801,1073744459,0,1,0,0,0
26388538,PTS,2,25,18175,7,11,1,0,0,0,87585,55511,0,1,1,1,10,11650085,14720279,0,611440,1073744459,1,1,0,0,0
26632327,START,13,25,19230,7,11,1,0,0,0,87951,55511,0,1,1,1,10,11892819,14720279,0,622713,1073744459,1,1,0,0,0
26632328,READY,12,25,19230,7,11,1,0,0,0,87951,55511,0,1,1,1,10,11892819,14720279,0,622713,1073744459,1,1,0,0,0
26936867,FIELD,7,25,19420,7,11,1,0,0,0,88408,55511,0,1,1,1,10,12197167,14720280,0,646710,1628742219,0,1,0,0,0
27358950,READY,13,26,19612,7,11,1,0,0,0,89041,55511,0,1,1,1,10,12619058,14720280,0,674811,1628742219,0,1,0,0,0
27935960,FIELD,7,26,19613,7,11,1,1,0,0,89906,55511,0,1,1,1,10,12619059,15297288,0,674811,1628840523,1,1,0,0,0
27935961,SELECT,11,27,19613,11,10,1,0,0,0,89906,55511,0,0,0,1,10,12619059,15297289,0,674811,1628840803,1,1,0,0,0
28023667,PUBLISH,11,27,19613,11,10,1,0,0,0,90038,55511,0,0,0,1,11,12619059,15384995,0,674811,1628840803,1,1,0,0,0
28938867,FIELD,11,27,19613,11,10,1,0,0,0,91411,55511,0,0,0,1,11,12619059,16300195,0,674811,1628840803,1,1,0,0,0
29937960,FIELD,11,28,19613,11,10,1,1,0,0,92909,55511,0,0,0,1,11,12619059,17299288,0,674811,1628840803,1,1,0,0,0
29937961,SELECT,10,29,19613,10,12,0,0,0,0,92909,55511,0,0,1,1,11,12619059,17299289,0,674811,1662395171,1,1,0,0,0
29937962,START,14,29,19614,10,13,1,0,1,0,92909,55511,0,0,1,1,12,12619059,17299290,0,674811,1610613361,1,0,0,0,0
30025667,PUBLISH,10,29,19696,10,13,1,0,1,0,93041,55511,0,0,1,1,12,12706681,17299290,0,677230,1610613877,0,1,0,0,0
30664552,READY,14,29,19996,10,13,1,0,1,1,93999,55511,0,0,1,1,12,13345266,17299290,0,726842,1610613877,0,1,0,0,0
30664554,START,15,29,19998,10,13,1,0,1,1,93999,55511,0,0,1,1,12,13345267,17299290,0,726842,1610613881,1,1,0,0,0
30940867,FIELD,10,29,20152,10,13,1,0,1,1,94414,55511,0,0,1,1,12,13621425,17299290,0,747088,1610615931,0,1,0,0,0
31539224,READY,15,30,20381,10,13,1,0,1,1,95311,55511,0,0,1,1,12,14219554,17299290,0,786230,1610615931,1,1,0,0,0
31939960,FIELD,10,30,20381,10,13,1,0,1,1,95912,55511,0,0,1,1,12,14219554,17700025,0,786230,1677726843,1,1,0,0,0
32942867,FIELD,10,31,20381,10,13,1,1,1,1,97417,55511,0,0,1,1,12,14219554,18702932,0,786230,1677726843,1,1,0,0,0
32942868,SELECT,13,32,20381,13,14,1,0,0,0,97417,93047,1,1,0,1,12,14219554,18702933,0,786230,1677727051,1,1,0,0,0
