cycle,event,id,field,byte,selected_id,candidate_id,candidate_ready,cadence_slot,pts_active,pts_due,stc,display_pts,display_pts_valid,tff,rff,present,generation,decoder_wait,presentation_wait,destination_wait,writer_wait,state,decoder_ready,cache_ready,prefill_miss,phase_error,overlap_error
0,PTS,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2147483648,0,0,0,0,0
172,START,0,0,166,0,0,0,1,0,0,48003,0,0,1,0,0,0,7,0,0,0,2147483648,1,0,0,0,0
994754,SELECT,0,0,4484,0,0,0,1,0,0,49495,0,0,1,0,0,0,990270,0,0,0,2147483648,0,0,0,0,0
1692822,START,1,0,7506,0,0,0,0,0,0,50542,0,0,1,0,0,1,1685317,0,0,0,2147483648,1,0,0,0,0
1692823,READY,0,0,7506,0,0,0,0,0,0,50542,0,0,1,0,0,1,1685317,0,0,0,2147483648,0,0,0,0,0
1909960,FIELD,0,0,7660,0,0,0,0,0,0,50867,48003,0,1,0,0,1,1902300,0,0,112,3221225472,0,1,0,0,0
2383038,READY,1,1,7889,0,0,0,0,0,0,51577,48003,0,1,0,0,1,2375150,0,0,112,3221225472,1,1,0,0,0
2383039,START,2,1,7890,0,1,0,0,0,0,51577,48003,0,1,0,0,1,2375150,0,0,112,3288334336,1,1,0,0,0
2622846,PTS,1,1,8065,0,1,0,0,0,0,51937,48003,0,1,0,0,1,2614782,0,0,112,1073742405,1,1,0,0,0
2912866,FIELD,0,1,8224,0,1,0,0,0,0,52372,48003,0,1,0,0,1,2904642,0,0,112,1073742405,0,1,0,0,0
2996760,PUBLISH,0,2,8272,0,1,0,0,0,0,52498,48003,0,1,0,1,1,2988488,0,0,112,1073742405,0,1,0,0,0
3038691,READY,2,2,8272,0,1,0,0,0,0,52561,48003,0,1,0,1,1,3030419,0,0,2108,1073742405,0,1,0,0,0
3038693,START,3,2,8274,0,2,1,0,0,0,52561,48003,0,1,0,1,1,3030420,0,0,2108,1073742409,1,1,0,0,0
3725255,READY,3,2,8656,0,2,1,0,0,0,53590,48003,0,1,0,1,1,3716599,0,0,35014,1073742925,0,1,0,0,0
3725257,START,4,2,8658,0,2,1,0,0,0,53590,48003,0,1,0,1,1,3716600,0,0,35014,1073742937,1,1,0,0,0
3911960,FIELD,0,2,8788,0,2,1,0,0,0,53870,48003,0,1,0,1,1,3903172,0,0,42308,1073744987,0,1,0,0,0
4440000,READY,4,3,9041,0,2,1,0,0,0,54662,48003,0,1,0,1,1,4430960,0,0,59633,1073744987,1,1,0,0,0
4914866,FIELD,0,3,9041,0,2,1,1,0,0,55375,48003,0,1,0,1,1,4430960,474865,0,59633,1140855899,1,1,0,0,0
4914867,SELECT,2,4,9041,2,3,1,0,1,0,55375,48003,0,1,1,1,1,4430960,474866,0,59633,1140856179,1,1,0,0,0
4998760,PUBLISH,2,4,9041,2,3,1,0,1,0,55501,48003,0,1,1,1,2,4430960,558759,0,59633,1140856179,1,1,0,0,0
5913960,FIELD,2,4,9041,2,3,1,0,1,1,56873,48003,0,1,1,1,2,4430960,1473959,0,59633,1140856179,1,1,0,0,0
6916866,FIELD,2,5,9041,2,3,1,0,1,1,58378,48003,0,1,1,1,2,4430960,2476865,0,59633,1140856179,1,1,0,0,0
7915960,FIELD,2,6,9041,2,3,1,1,1,1,59876,48003,0,1,1,1,2,4430960,3475959,0,59633,1140856179,1,1,0,0,0
7915961,START,5,7,9042,3,1,1,0,0,0,59876,55511,1,0,0,1,2,4430960,3475960,0,59633,1140856131,1,1,0,0,0
7915961,SELECT,3,7,9042,3,1,1,0,0,0,59876,55511,1,0,0,1,2,4430960,3475960,0,59633,1140856131,1,1,0,0,0
8003666,PUBLISH,3,7,9136,3,1,1,0,0,0,60008,55511,1,0,0,1,3,4518570,3475960,0,59697,1091872067,0,1,0,0,0
8598291,READY,5,7,9424,3,1,1,0,0,0,60900,55511,1,0,0,1,3,5112907,3475960,0,88251,1091872067,0,1,0,0,0
8918866,FIELD,3,7,9425,3,1,1,0,0,0,61381,55511,1,0,0,1,3,5112908,3796533,0,88251,1091904835,1,1,0,0,0
9917960,FIELD,3,8,9425,3,1,1,1,0,0,62879,55511,1,0,0,1,3,5112908,4795627,0,88251,1091904835,1,1,0,0,0
9917961,SELECT,1,9,9425,1,4,0,0,0,0,62879,48003,0,0,1,1,3,5112908,4795628,0,88251,1125459203,1,1,0,0,0
9917962,START,6,9,9426,1,5,1,0,0,0,62879,48003,0,0,1,1,4,5112908,4795629,0,88251,1073742409,1,0,0,0,0
10005666,PUBLISH,1,9,9520,1,5,1,0,0,0,63011,48003,0,0,1,1,4,5200517,4795629,0,88315,1073742925,0,1,0,0,0
10600291,READY,6,9,9808,1,5,1,0,0,0,63903,48003,0,0,1,1,4,5794854,4795629,0,116869,1073742925,0,1,0,0,0
10600293,START,7,9,9810,1,5,1,0,0,0,63903,48003,0,0,1,1,4,5794855,4795629,0,116869,1073742937,1,1,0,0,0
10920866,FIELD,1,9,10012,1,5,1,0,0,0,64384,48003,0,0,1,1,4,6115225,4795629,0,129568,1073744987,0,1,0,0,0
11315270,READY,7,10,10193,1,5,1,0,0,0,64975,48003,0,0,1,1,4,6509449,4795629,0,141785,1073744987,1,1,0,0,0
11919960,FIELD,1,10,10193,1,5,1,0,0,0,65882,48003,0,0,1,1,4,6509449,5400318,0,141785,1140855899,1,1,0,0,0
12922866,FIELD,1,11,10193,1,5,1,1,0,0,67387,48003,0,0,1,1,4,6509449,6403224,0,141785,1140855899,1,1,0,0,0
12922867,SELECT,5,12,10193,5,6,1,0,0,0,67387,55511,0,1,0,1,4,6509449,6403225,0,141785,1140856179,1,1,0,0,0
13006760,PUBLISH,5,12,10193,5,6,1,0,0,0,67513,55511,0,1,0,1,5,6509449,6487118,0,141785,1140856179,1,1,0,0,0
13921960,FIELD,5,12,10193,5,6,1,0,0,0,68885,55511,0,1,0,1,5,6509449,7402318,0,141785,1140856179,1,1,0,0,0
14924867,FIELD,5,13,10193,5,6,1,1,0,0,70390,55511,0,1,0,1,5,6509449,8405225,0,141785,1140856179,1,1,0,0,0
14924868,START,8,14,10194,6,4,1,0,0,0,70390,55511,0,1,1,1,5,6509449,8405226,0,141785,1140856131,1,1,0,0,0
14924868,SELECT,6,14,10194,6,4,1,0,0,0,70390,55511,0,1,1,1,5,6509449,8405226,0,141785,1140856131,1,1,0,0,0
15008760,PUBLISH,6,14,10276,6,4,1,0,0,0,70516,55511,0,1,1,1,6,6593258,8405226,0,141849,1091872067,0,1,0,0,0
15607358,READY,8,14,10576,6,4,1,0,0,0,71414,55511,0,1,1,1,6,7191556,8405226,0,170563,1091872067,0,1,0,0,0
15923960,FIELD,6,14,10577,6,4,1,0,0,0,71888,55511,0,1,1,1,6,7191557,8721826,0,170563,1091904835,1,1,0,0,0
16926867,FIELD,6,15,10577,6,4,1,0,0,0,73393,55511,0,1,1,1,6,7191557,9724733,0,170563,1091904835,1,1,0,0,0
17925960,FIELD,6,16,10577,6,4,1,1,0,0,74891,55511,0,1,1,1,6,7191557,10723826,0,170563,1091904835,1,1,0,0,0
17925961,SELECT,4,17,10577,4,7,0,0,0,0,74891,55511,0,0,0,1,6,7191557,10723827,0,170563,1125459203,1,1,0,0,0
17925962,START,9,17,10578,4,8,1,0,0,0,74891,55511,0,0,0,1,7,7191557,10723828,0,170563,1073742409,1,0,0,0,0
18013666,PUBLISH,4,17,10672,4,8,1,0,0,0,75023,55511,0,0,0,1,7,7279166,10723828,0,170627,1073742925,0,1,0,0,0
18608291,READY,9,17,10960,4,8,1,0,0,0,75915,55511,0,0,0,1,7,7873503,10723828,0,199181,1073742925,0,1,0,0,0
18608293,START,10,17,10962,4,8,1,0,0,0,75915,55511,0,0,0,1,7,7873504,10723828,0,199181,1073742937,1,1,0,0,0
18928867,FIELD,4,17,11164,4,8,1,0,0,0,76396,55511,0,0,0,1,7,8193875,10723828,0,211880,1073744987,0,1,0,0,0
19323270,READY,10,18,11345,4,8,1,0,0,0,76987,55511,0,0,0,1,7,8588098,10723828,0,224097,1073744987,1,1,0,0,0
19927960,FIELD,4,18,11345,4,8,1,1,0,0,77894,55511,0,0,0,1,7,8588098,11328517,0,224097,1140855899,1,1,0,0,0
19927961,SELECT,8,19,11345,8,9,1,0,0,0,77894,55511,0,0,1,1,7,8588098,11328518,0,224097,1140856179,1,1,0,0,0
20015666,PUBLISH,8,19,11345,8,9,1,0,0,0,78026,55511,0,0,1,1,8,8588098,11416223,0,224097,1140856179,1,1,0,0,0
20930867,FIELD,8,19,11345,8,9,1,0,0,0,79399,55511,0,0,1,1,8,8588098,12331424,0,224097,1140856179,1,1,0,0,0
21929960,FIELD,8,20,11345,8,9,1,0,0,0,80897,55511,0,0,1,1,8,8588098,13330517,0,224097,1140856179,1,1,0,0,0
22932867,FIELD,8,21,11345,8,9,1,1,0,0,82402,55511,0,0,1,1,8,8588098,14333424,0,224097,1140856179,1,1,0,0,0
22932868,START,11,22,11346,9,7,1,0,0,0,82402,55511,0,1,0,1,8,8588098,14333425,0,224097,1140856131,1,1,0,0,0
22932868,SELECT,9,22,11346,9,7,1,0,0,0,82402,55511,0,1,0,1,8,8588098,14333425,0,224097,1140856131,1,1,0,0,0
23016760,PUBLISH,9,22,11428,9,7,1,0,0,0,82528,55511,0,1,0,1,9,8671907,14333425,0,224161,1091872067,0,1,0,0,0
23615358,READY,11,22,11728,9,7,1,0,0,0,83426,55511,0,1,0,1,9,9270205,14333425,0,252875,1091872067,0,1,0,0,0
23931960,FIELD,9,22,11729,9,7,1,0,0,0,83900,55511,0,1,0,1,9,9270206,14650025,0,252875,1091904835,1,1,0,0,0
24934867,FIELD,9,23,11729,9,7,1,1,0,0,85405,55511,0,1,0,1,9,9270206,15652932,0,252875,1091904835,1,1,0,0,0
24934868,SELECT,7,24,11729,7,10,0,0,0,0,85405,55511,0,1,1,1,9,9270206,15652933,0,252875,1125459203,1,1,0,0,0
24935029,START,12,24,11890,7,11,1,0,0,0,85405,55511,0,1,1,0,10,9270206,15652934,0,252875,1073742409,1,0,0,0,0
25018760,PUBLISH,7,24,12270,7,11,1,0,0,0,85531,55511,0,1,1,1,10,9353556,15652934,0,252875,1073744459,0,1,0,0,0
25933960,FIELD,7,24,16226,7,11,1,0,0,0,86903,55511,0,1,1,1,10,10264800,15652934,0,274848,1073744459,0,1,0,0,0
26384422,PTS,2,25,18175,7,11,1,0,0,0,87579,55511,0,1,1,1,10,10713314,15652934,0,283574,1073744459,1,1,0,0,0
26627679,START,13,25,19230,7,11,1,0,0,0,87944,55511,0,1,1,1,10,10955516,15652934,0,289610,1073744459,1,1,0,0,0
26627680,READY,12,25,19230,7,11,1,0,0,0,87944,55511,0,1,1,1,10,10955516,15652934,0,289610,1073744459,1,1,0,0,0
26936867,FIELD,7,25,19432,7,11,1,0,0,0,88408,55511,0,1,1,1,10,11264500,15652935,0,304370,1628742219,0,1,0,0,0
27309813,READY,13,26,19612,7,11,1,0,0,0,88967,55511,0,1,1,1,10,11637266,15652935,0,318087,1628742219,0,1,0,0,0
27935960,FIELD,7,26,19613,7,11,1,1,0,0,89906,55511,0,1,1,1,10,11637267,16279080,0,318087,1628840523,1,1,0,0,0
27935961,SELECT,11,27,19613,11,10,1,0,0,0,89906,55511,0,0,0,1,10,11637267,16279081,0,318087,1628840803,1,1,0,0,0
28023667,PUBLISH,11,27,19613,11,10,1,0,0,0,90038,55511,0,0,0,1,11,11637267,16366787,0,318087,1628840803,1,1,0,0,0
28938867,FIELD,11,27,19613,11,10,1,0,0,0,91411,55511,0,0,0,1,11,11637267,17281987,0,318087,1628840803,1,1,0,0,0
29937960,FIELD,11,28,19613,11,10,1,1,0,0,92909,55511,0,0,0,1,11,11637267,18281080,0,318087,1628840803,1,1,0,0,0
29937961,SELECT,10,29,19613,10,12,0,0,0,0,92909,55511,0,0,1,1,11,11637267,18281081,0,318087,1662395171,1,1,0,0,0
29937962,START,14,29,19614,10,13,1,0,1,0,92909,55511,0,0,1,1,12,11637267,18281082,0,318087,1610613361,1,0,0,0,0
30025667,PUBLISH,10,29,19708,10,13,1,0,1,0,93041,55511,0,0,1,1,12,11724877,18281082,0,318151,1610613877,0,1,0,0,0
30620291,READY,14,29,19996,10,13,1,0,1,1,93933,55511,0,0,1,1,12,12319213,18281082,0,346705,1610613877,0,1,0,0,0
30620293,START,15,29,19998,10,13,1,0,1,1,93933,55511,0,0,1,1,12,12319214,18281082,0,346705,1610613881,1,1,0,0,0
30940867,FIELD,10,29,20200,10,13,1,0,1,1,94414,55511,0,0,1,1,12,12639585,18281082,0,359404,1610615931,0,1,0,0,0
31335271,READY,15,30,20381,10,13,1,0,1,1,95005,55511,0,0,1,1,12,13033809,18281082,0,371622,1610615931,1,1,0,0,0
31939960,FIELD,10,30,20381,10,13,1,0,1,1,95912,55511,0,0,1,1,12,13033809,18885770,0,371622,1677726843,1,1,0,0,0
32942867,FIELD,10,31,20381,10,13,1,1,1,1,97417,55511,0,0,1,1,12,13033809,19888677,0,371622,1677726843,1,1,0,0,0
32942868,SELECT,13,32,20381,13,14,1,0,0,0,97417,93047,1,1,0,1,12,13033809,19888678,0,371622,1677727051,1,1,0,0,0
