cycle,event,id,type,temporal_reference,bank,hold_total
172,START,0,1,0,-1,0
1692822,START,1,2,3,-1,0
1692823,READY,0,1,0,0,0
2383038,READY,1,2,3,1,0
2383039,START,2,3,1,-1,0
3038691,READY,2,3,1,2,0
3038693,START,3,3,2,-1,0
3725255,READY,3,3,2,3,0
3725257,START,4,2,6,-1,0
4440000,READY,4,2,6,2,0
4914867,DISPLAY,2,3,1,2,474866
7915961,START,5,3,4,-1,3475960
7915961,DISPLAY,3,3,2,3,3475960
8598291,READY,5,3,4,2,3475960
9917961,DISPLAY,1,2,3,1,4795628
9917962,START,6,3,5,-1,4795629
10600291,READY,6,3,5,3,4795629
10600293,START,7,2,9,-1,4795629
11315270,READY,7,2,9,0,4795629
12922867,DISPLAY,5,3,4,2,6403225
14924868,START,8,3,7,-1,8405226
14924868,DISPLAY,6,3,5,3,8405226
15607358,READY,8,3,7,2,8405226
17925961,DISPLAY,4,2,6,2,10723827
17925962,START,9,3,8,-1,10723828
18608291,READY,9,3,8,3,10723828
18608293,START,10,2,11,-1,10723828
19323270,READY,10,2,11,1,10723828
19927961,DISPLAY,8,3,7,2,11328518
22932868,START,11,3,10,-1,14333425
22932868,DISPLAY,9,3,8,3,14333425
23615358,READY,11,3,10,2,14333425
24934868,DISPLAY,7,2,9,0,15652933
24935029,START,12,1,2,-1,15652934
26627679,START,13,3,0,-1,15652934
26627680,READY,12,1,2,2,15652934
27309813,READY,13,3,0,3,15652935
27935961,DISPLAY,11,3,10,2,16279081
29937961,DISPLAY,10,2,11,1,18281081
29937962,START,14,3,1,-1,18281082
30620291,READY,14,3,1,2,18281082
30620293,START,15,2,5,-1,18281082
31335271,READY,15,2,5,0,18281082
32942868,DISPLAY,13,3,0,3,19888678
34944868,START,16,3,3,-1,21890678
34944868,DISPLAY,14,3,1,2,21890678
35627358,READY,16,3,3,3,21890678
37945961,DISPLAY,12,1,2,2,24209279
37945962,START,17,3,4,-1,24209280
38628291,READY,17,3,4,2,24209280
38628293,START,18,2,8,-1,24209280
39343271,READY,18,2,8,1,24209280
39947961,DISPLAY,16,3,3,3,24813969
42952868,START,19,3,6,-1,27818876
42952868,DISPLAY,17,3,4,2,27818876
43635358,READY,19,3,6,3,27818876
44954868,DISPLAY,15,2,5,0,29138384
44954869,START,20,3,7,-1,29138385
45637358,READY,20,3,7,2,29138385
45637360,START,21,2,11,-1,29138385
46352177,READY,21,2,11,2,29138385
47955961,DISPLAY,19,3,6,3,30742168
49957961,START,22,3,9,-1,32744168
49957961,DISPLAY,20,3,7,2,32744168
50640291,READY,22,3,9,3,32744168
52962868,DISPLAY,18,2,8,1,35066743
52962869,START,23,3,10,-1,35066744
53645358,READY,23,3,10,2,35066744
53645520,START,24,1,2,-1,35066744
54964868,DISPLAY,22,3,9,3,35066744
55338515,START,25,3,0,-1,35066744
55338516,READY,24,1,2,0,35066744
57965961,DISPLAY,23,3,10,2,37694189
58648292,READY,25,3,0,3,37694190
59967961,DISPLAY,21,2,11,2,39013857
59967962,START,26,3,1,-1,39013858
60650292,READY,26,3,1,2,39013858
60650294,START,27,2,5,-1,39013858
61377307,READY,27,2,5,1,39013858
62972868,DISPLAY,25,3,0,3,40609418
64974868,START,28,3,3,-1,42611418
64974868,DISPLAY,26,3,1,2,42611418
65657358,READY,28,3,3,3,42611418
68978868,DISPLAY,24,1,2,0,45932926
68978869,START,29,3,4,-1,45932927
69661358,READY,29,3,4,2,45932927
69661360,START,30,2,6,-1,45932927
70928600,READY,30,2,6,2,45932927
71979962,DISPLAY,28,3,3,3,46984288
74984868,START,31,2,7,-1,49989194
74984868,DISPLAY,29,3,4,2,49989194
75987890,READY,31,2,7,0,49989194
75987891,START,32,2,8,-1,49989194
76986868,DISPLAY,27,2,5,1,49989194
79987962,DISPLAY,30,2,6,2,52990288
80273311,READY,32,2,8,1,52990288
80273312,START,33,2,9,-1,52990288
82992868,DISPLAY,32,2,8,1,55709843
84362292,READY,33,2,9,2,55709843
84362293,START,34,2,11,-1,55709843
84994868,DISPLAY,33,2,9,2,56342417
86615632,READY,34,2,11,0,56342417
86615633,START,35,3,10,-1,56342417
87851515,READY,35,3,10,2,56342417
87851677,START,36,1,0,-1,56342417
87995962,DISPLAY,35,3,10,2,56342417
89762496,START,37,2,1,-1,56342417
89762497,READY,36,1,0,1,56342417
89997962,DISPLAY,34,2,11,0,56342417
91099601,READY,37,2,1,2,56342417
91099602,START,38,2,2,-1,56342417
93002868,DISPLAY,37,2,1,2,58245682
94590163,READY,38,2,2,0,58245682
94590164,START,39,2,3,-1,58245682
96003962,DISPLAY,38,2,2,0,59659479
97919459,READY,39,2,3,1,59659479
97919460,START,40,2,4,-1,59659479
98005962,DISPLAY,39,2,3,1,59745980
99996618,READY,40,2,4,2,59745980
99996619,START,41,2,5,-1,59745980
101010869,DISPLAY,40,2,4,2,60760229
103024973,READY,41,2,5,0,60760229
103024974,START,42,2,6,-1,60760229
105014869,DISPLAY,41,2,5,0,62750123
107139673,READY,42,2,6,1,62750123
107139674,START,43,2,7,-1,62750123
108015962,DISPLAY,42,2,6,1,63626410
110265669,READY,43,2,7,2,63626410
110265670,START,44,2,8,-1,63626410
