kind,index,value
delta,0,133340849
delta,1,3503870
delta,2,12779
delta,3,84
delta,4,17
delta,5,1
picture_max,0,0
picture_max,1,0
picture_max,2,0
picture_max,3,0
picture_max,4,0
picture_max,5,0
picture_max,6,0
picture_max,7,0
picture_max,8,0
picture_max,9,0
picture_max,10,0
picture_max,11,0
picture_max,12,0
picture_max,13,0
picture_max,14,0
picture_max,15,0
picture_max,16,0
picture_max,17,0
picture_max,18,0
picture_max,19,0
picture_max,20,0
picture_max,21,0
picture_max,22,0
picture_max,23,0
picture_max,24,0
picture_max,25,0
picture_max,26,0
picture_max,27,1
picture_max,28,1
picture_max,29,1
picture_max,30,1
picture_max,31,1
picture_max,32,2
picture_max,33,2
picture_max,34,2
picture_max,35,2
picture_max,36,1
picture_max,37,2
picture_max,38,2
picture_max,39,2
picture_max,40,3
picture_max,41,3
picture_max,42,3
picture_max,43,3
picture_max,44,3
picture_max,45,4
picture_max,46,4
picture_max,47,4
picture_max,48,1
picture_max,49,2
picture_max,50,2
picture_max,51,2
picture_max,52,2
picture_max,53,2
picture_max,54,2
picture_max,55,3
picture_max,56,3
picture_max,57,3
picture_max,58,3
picture_max,59,4
picture_max,60,1
picture_max,61,2
picture_max,62,2
picture_max,63,2
picture_max,64,2
picture_max,65,2
picture_max,66,2
picture_max,67,2
picture_max,68,2
picture_max,69,3
picture_max,70,3
picture_max,71,3
picture_max,72,1
picture_max,73,4
picture_max,74,3
picture_max,75,2
picture_max,76,2
picture_max,77,2
picture_max,78,2
picture_max,79,2
picture_max,80,2
picture_max,81,3
picture_max,82,3
picture_max,83,3
picture_max,84,1
picture_max,85,2
picture_max,86,2
picture_max,87,2
picture_max,88,2
picture_max,89,2
picture_max,90,2
picture_max,91,2
picture_max,92,2
picture_max,93,3
picture_max,94,4
picture_max,95,5
picture_max,96,1
picture_max,97,2
picture_max,98,3
picture_max,99,2
picture_max,100,2
picture_max,101,2
picture_max,102,2
picture_max,103,2
picture_max,104,2
picture_max,105,2
picture_max,106,2
picture_max,107,2
picture_max,108,1
picture_max,109,2
picture_max,110,2
picture_max,111,2
picture_max,112,2
picture_max,113,2
picture_max,114,2
picture_max,115,2
picture_max,116,3
picture_max,117,2
picture_max,118,2
picture_max,119,2
picture_max,120,1
picture_max,121,2
picture_max,122,2
picture_max,123,2
picture_max,124,2
picture_max,125,2
picture_max,126,2
picture_max,127,2
picture_max,128,3
picture_max,129,3
picture_max,130,3
picture_max,131,4
picture_max,132,1
picture_max,133,2
picture_max,134,3
picture_max,135,2
picture_max,136,2
picture_max,137,2
picture_max,138,2
picture_max,139,2
picture_max,140,2
picture_max,141,2
picture_max,142,2
picture_max,143,2
picture_max,144,1
picture_max,145,2
picture_max,146,2
picture_max,147,2
picture_max,148,2
picture_max,149,2
picture_max,150,2
picture_max,151,2
picture_max,152,2
picture_max,153,2
picture_max,154,2
picture_max,155,2
picture_max,156,1
picture_max,157,2
picture_max,158,2
picture_max,159,2
picture_max,160,2
picture_max,161,2
picture_max,162,2
picture_max,163,2
picture_max,164,2
picture_max,165,2
picture_max,166,2
picture_max,167,2
picture_max,168,1
picture_max,169,2
picture_max,170,2
picture_max,171,2
picture_max,172,2
picture_max,173,2
picture_max,174,2
picture_max,175,2
picture_max,176,2
picture_max,177,3
picture_max,178,2
picture_max,179,2
picture_max,180,1
picture_max,181,2
picture_max,182,2
picture_max,183,2
picture_max,184,2
picture_max,185,2
picture_max,186,2
picture_max,187,2
picture_max,188,2
picture_max,189,2
picture_max,190,2
picture_max,191,2
picture_max,192,1
picture_max,193,2
picture_max,194,2
picture_max,195,2
picture_max,196,2
picture_max,197,2
picture_max,198,2
picture_max,199,2
picture_max,200,2
picture_max,201,2
picture_max,202,2
picture_max,203,3
picture_max,204,1
picture_max,205,2
picture_max,206,2
picture_max,207,2
picture_max,208,2
picture_max,209,2
picture_max,210,2
picture_max,211,2
picture_max,212,2
picture_max,213,2
picture_max,214,2
picture_max,215,2
picture_max,216,1
picture_max,217,3
picture_max,218,2
picture_max,219,2
picture_max,220,2
picture_max,221,2
picture_max,222,2
picture_max,223,2
picture_max,224,2
picture_max,225,2
picture_max,226,3
picture_max,227,2
picture_max,228,1
picture_max,229,2
picture_max,230,2
picture_max,231,2
picture_max,232,2
picture_max,233,2
picture_max,234,2
picture_max,235,2
picture_max,236,2
picture_max,237,2
picture_max,238,2
picture_max,239,2
picture_max,240,1
picture_max,241,2
picture_max,242,2
picture_max,243,2
picture_max,244,2
picture_max,245,2
picture_max,246,2
picture_max,247,2
picture_max,248,2
picture_max,249,2
picture_max,250,2
picture_max,251,2
picture_max,252,1
picture_max,253,2
picture_max,254,2
picture_max,255,2
picture_max,256,2
picture_max,257,2
picture_max,258,2
picture_max,259,3
picture_max,260,2
picture_max,261,2
picture_max,262,3
picture_max,263,2
picture_max,264,1
picture_max,265,2
picture_max,266,2
picture_max,267,2
picture_max,268,2
picture_max,269,2
picture_max,270,2
picture_max,271,2
picture_max,272,2
picture_max,273,2
picture_max,274,2
picture_max,275,2
picture_max,276,1
picture_max,277,2
picture_max,278,2
picture_max,279,2
picture_max,280,2
picture_max,281,2
picture_max,282,2
picture_max,283,2
picture_max,284,2
picture_max,285,3
picture_max,286,2
picture_max,287,2
picture_max,288,1
